MTR,Target,Weight
Solyc02g093130.1,Solyc09g075210.2,0.854187555
Solyc02g093130.1,Solyc03g096100.1,0.84066937
Solyc02g093130.1,Solyc03g096130.1,0.84066937
Solyc02g093130.1,Solyc03g096080.2,0.84066937
Solyc02g093130.1,Solyc03g096250.2,0.84066937
Solyc02g093130.1,Solyc03g096260.1,0.84066937
Solyc02g093130.1,Solyc03g119520.2,0.822627038
Solyc02g093130.1,Solyc03g119480.2,0.822627038
Solyc02g093130.1,Solyc06g061230.2,0.822053213
Solyc02g093130.1,Solyc03g031530.2,0.813806229
Solyc02g093130.1,Solyc01g100140.2,0.803026261
Solyc02g093130.1,Solyc09g010520.2,0.802076836
Solyc02g093130.1,Solyc06g005110.2,0.79875266
Solyc02g093130.1,Solyc05g014230.2,0.797951024
Solyc02g093130.1,Solyc02g071150.2,0.790104651
Solyc02g093130.1,Solyc10g005730.2,0.790042897
Solyc02g093130.1,Solyc05g025510.2,0.786256656
Solyc02g093130.1,Solyc01g095700.2,0.785845735
Solyc02g093130.1,Solyc11g070120.1,0.783547509
Solyc02g093130.1,Solyc01g106560.2,0.782637933
Solyc02g093130.1,Solyc04g026030.2,-0.778184612
Solyc02g093130.1,Solyc02g079880.2,0.77500409
Solyc02g093130.1,Solyc06g048820.1,0.774272256
Solyc02g093130.1,Solyc12g006230.1,0.769282228
Solyc02g093130.1,Solyc05g048810.2,0.763914399
Solyc02g093130.1,Solyc06g043140.2,0.760782757
Solyc02g093130.1,Solyc02g036380.2,0.760782757
Solyc02g093130.1,Solyc11g008450.1,0.75971125
Solyc02g093130.1,Solyc07g053310.2,0.757139479
Solyc02g093130.1,Solyc01g008190.2,0.749668196
Solyc02g093130.1,Solyc01g008200.2,0.749668196
Solyc02g093130.1,Solyc05g015710.2,0.74795108
Solyc02g093130.1,Solyc03g123850.2,0.745299697
Solyc02g093130.1,Solyc02g079960.2,0.743973497
Solyc02g093130.1,Solyc01g108150.2,0.74271431
Solyc02g093130.1,Solyc09g082470.2,0.741324297
Solyc02g093130.1,Solyc01g108620.2,0.737950365
Solyc02g093130.1,Solyc12g006180.1,0.735942136
Solyc02g093130.1,Solyc03g117360.2,0.733773775
Solyc02g093130.1,Solyc02g070680.2,0.724367383
Solyc02g093130.1,Solyc10g018880.1,0.720772543
Solyc02g093130.1,Solyc10g018890.1,0.720772543
Solyc02g093130.1,Solyc01g080250.2,0.719298416
Solyc02g093130.1,Solyc10g081120.1,0.715063346
Solyc02g093130.1,Solyc11g020680.1,0.714391874
Solyc02g093130.1,Solyc11g065610.1,0.714391874
Solyc02g093130.1,Solyc11g012460.1,0.714305644
Solyc02g093130.1,Solyc06g083260.2,0.709949138
Solyc02g093130.1,Solyc05g052620.2,0.70659284
Solyc02g093130.1,Solyc04g071140.2,0.699397786
Solyc02g093130.1,Solyc06g073600.2,0.697670925
Solyc02g093130.1,Solyc12g042600.1,-0.697021115
Solyc02g093130.1,Solyc01g005760.2,-0.687609255
Solyc02g093130.1,Solyc03g082380.2,0.686943691
Solyc02g093130.1,Solyc11g066950.1,-0.686796959
Solyc02g093130.1,Solyc11g066940.1,-0.685619723
Solyc02g093130.1,Solyc02g062640.2,0.685152022
Solyc02g093130.1,Solyc07g008770.2,0.682305348
Solyc02g093130.1,Solyc06g053450.2,0.680064928
Solyc02g093130.1,Solyc06g073340.2,0.674097871
Solyc02g093130.1,Solyc12g098690.1,0.669391176
Solyc02g093130.1,Solyc06g084070.2,0.668696483
Solyc02g093130.1,Solyc02g093680.2,0.666795994
Solyc02g093130.1,Solyc05g008440.1,0.6657584
Solyc02g093130.1,Solyc01g098090.2,0.663829529
Solyc02g093130.1,Solyc03g078570.2,-0.66348386
Solyc02g093130.1,Solyc02g092730.2,0.660288418
Solyc02g093130.1,Solyc10g080660.1,0.660042924
Solyc02g093130.1,Solyc04g007970.2,0.657738672
Solyc02g093130.1,Solyc02g080220.2,0.657635708
Solyc02g093130.1,Solyc02g080200.2,0.657635708
