Gen_a	Species_b	count
Solyc01g067800	Potato	2
Solyc01g104740	Potato	2
Solyc01g106560	Potato	2
Solyc02g036380	TomatoCerasiforme	2
Solyc02g070680	Potato	2
Solyc02g080200	CaChiltepin.pep	2
Solyc02g080200	CaZL1.pep	2
Solyc02g080200	Potato	2
Solyc02g080200	TomatoCerasiforme	2
Solyc02g080200	TomatoPennelli	3
Solyc02g080200	Tomatopimp	3
Solyc02g080220	CaChiltepin.pep	2
Solyc02g080220	CaZL1.pep	2
Solyc02g080220	Potato	2
Solyc02g080220	TomatoCerasiforme	2
Solyc02g080220	TomatoPennelli	3
Solyc02g080220	Tomatopimp	3
Solyc02g092730	CaChiltepin.pep	2
Solyc02g093680	CaChiltepin.pep	2
Solyc03g007210	CaZL1.pep	2
Solyc03g007210	Potato	2
Solyc03g082380	Potato	2
Solyc03g083270	CaChiltepin.pep	2
Solyc03g083270	CaZL1.pep	2
Solyc03g096080	Potato	2
Solyc03g096130	TomatoPennelli	4
Solyc03g096250	Potato	2
Solyc03g113220	CaChiltepin.pep	2
Solyc03g113220	CaZL1.pep	2
Solyc03g113220	Potato	4
Solyc03g114890	CaZL1.pep	2
Solyc03g115920	Potato	2
Solyc03g119480	Potato	3
Solyc03g122350	CaZL1.pep	2
Solyc03g122350	Potato	3
Solyc03g122350	TomatoPennelli	2
Solyc03g122360	CaZL1.pep	2
Solyc03g122360	Potato	3
Solyc03g122360	TomatoPennelli	2
Solyc04g007970	Potato	2
Solyc05g006780	Potato	2
Solyc05g007140	CaChiltepin.pep	2
Solyc05g008440	Potato	2
Solyc05g048810	Potato	2
Solyc06g030470	Potato	2
Solyc06g043140	TomatoCerasiforme	2
Solyc06g073600	Potato	2
Solyc06g075690	Potato	2
Solyc07g008770	Potato	2
Solyc07g043510	Potato	2
Solyc07g049530	CaChiltepin.pep	2
Solyc07g049530	CaZL1.pep	3
Solyc07g049530	TomatoPennelli	2
Solyc07g056500	CaChiltepin.pep	2
Solyc07g056500	CaZL1.pep	2
Solyc07g064310	Potato	3
Solyc08g062610	TomatoPennelli	2
Solyc08g068770	TomatoPennelli	4
Solyc08g080410	Potato	2
Solyc09g008010	Potato	4
Solyc09g011590	CaZL1.pep	2
Solyc09g011590	Potato	2
Solyc09g011590	TomatoPennelli	2
Solyc09g020140	Potato	3
Solyc09g082470	TomatoPennelli	2
Solyc10g005730	Potato	2
Solyc10g006560	CaChiltepin.pep	3
Solyc10g006560	CaZL1.pep	3
Solyc10g055200	CaChiltepin.pep	2
Solyc10g055200	CaZL1.pep	2
Solyc10g055200	Potato	2
Solyc11g012460	CaChiltepin.pep	2
Solyc11g012460	CaZL1.pep	2
Solyc11g028010	Potato	2
Solyc11g069700	CaZL1.pep	4
Solyc11g069700	TomatoPennelli	4
Solyc12g006180	Potato	2
Solyc12g006230	Potato	2
Solyc12g006380	CaZL1.pep	2
Solyc12g015910	CaChiltepin.pep	2
Solyc12g015910	Tomatopimp	2
Solyc12g098690	Potato	2
