Gen	Count
Solyc06g075960	14
Solyc08g006900	9
Solyc12g049290	9
Solyc12g044630	8
Solyc01g099140	7
Solyc02g084820	7
Solyc02g087760	7
Solyc04g014680	7
Solyc06g008620	7
Solyc01g100040	6
Solyc01g111150	6
Solyc02g082700	6
Solyc03g097270	6
Solyc04g081300	6
Solyc05g015530	6
Solyc05g055440	6
Solyc07g049300	6
Solyc09g075360	6
Solyc09g091470	6
Solyc11g011610	6
Solyc12g040790	6
Solyc01g096520	5
Solyc07g061780	5
Solyc08g069060	5
Solyc08g080640	5
Solyc10g083630	5
Solyc01g110540	3
Solyc11g011620	2
Solyc12g013690	2
Solyc01g060020	1
Solyc03g013430	1
