Gen	Count
Solyc02g080200	14
Solyc02g080220	14
Solyc03g113220	11
Solyc11g069700	11
Solyc07g049530	9
Solyc09g008010	9
Solyc09g011590	9
Solyc10g055200	9
Solyc03g083270	8
Solyc03g119480	8
Solyc07g064310	8
Solyc09g020140	8
Solyc01g067800	7
Solyc01g104740	7
Solyc01g106560	7
Solyc02g070680	7
Solyc02g093680	7
Solyc03g096080	7
Solyc03g115920	7
Solyc03g122350	7
Solyc03g122360	7
Solyc05g006780	7
Solyc05g007140	7
Solyc05g008440	7
Solyc06g073600	7
Solyc07g008770	7
Solyc07g056500	7
Solyc08g080410	7
Solyc10g005730	7
Solyc10g006560	7
Solyc11g028010	7
Solyc12g006180	7
Solyc12g006230	7
Solyc12g098690	7
Solyc01g006510	6
Solyc01g009040	6
Solyc01g080250	6
Solyc01g095700	6
Solyc01g102490	6
Solyc01g104080	6
Solyc01g107290	6
Solyc01g108150	6
Solyc01g108620	6
Solyc01g109460	6
Solyc01g112220	6
Solyc02g036380	6
Solyc02g069800	6
Solyc02g078900	6
Solyc02g079880	6
Solyc02g079960	6
Solyc02g086870	6
Solyc03g096090	6
Solyc03g096130	6
Solyc03g097110	6
Solyc03g114800	6
Solyc03g117360	6
Solyc03g119520	6
Solyc04g007970	6
Solyc04g018110	6
Solyc04g071140	6
Solyc05g005890	6
Solyc05g011920	6
Solyc05g013660	6
Solyc05g014230	6
Solyc05g048810	6
Solyc05g050800	6
Solyc05g051070	6
Solyc06g005890	6
Solyc06g008330	6
Solyc06g043140	6
Solyc06g048820	6
Solyc06g053450	6
Solyc06g053760	6
Solyc06g065480	6
Solyc06g068740	6
Solyc06g069190	6
Solyc06g069570	6
Solyc06g071540	6
Solyc06g071810	6
Solyc06g072110	6
Solyc06g073340	6
Solyc06g075690	6
Solyc06g084070	6
Solyc07g007370	6
Solyc07g007870	6
Solyc07g043510	6
Solyc07g053310	6
Solyc07g053830	6
Solyc07g062970	6
Solyc07g066040	6
Solyc08g062610	6
Solyc09g005080	6
Solyc09g010400	6
Solyc09g010520	6
Solyc09g082470	6
Solyc09g082980	6
Solyc09g090730	6
Solyc10g008460	6
Solyc10g008600	6
Solyc10g044780	6
Solyc10g080660	6
Solyc10g085010	6
Solyc11g006540	6
Solyc11g006770	6
Solyc11g066940	6
Solyc11g068710	6
Solyc12g006380	6
Solyc12g015910	6
Solyc12g098950	6
Solyc01g086680	5
Solyc01g086690	5
Solyc01g107820	5
Solyc02g061770	5
Solyc03g007210	5
Solyc03g096250	5
Solyc03g114890	5
Solyc03g115930	5
Solyc05g015710	5
Solyc05g052620	5
Solyc06g030470	5
Solyc06g050930	5
Solyc06g061230	5
Solyc06g062860	5
Solyc06g083260	5
Solyc07g006280	5
Solyc07g054830	5
Solyc08g007460	5
Solyc08g075540	5
Solyc08g077790	5
Solyc09g011540	5
Solyc09g074320	5
Solyc09g075210	5
Solyc09g090120	5
Solyc10g079930	5
Solyc10g081120	5
Solyc10g083360	5
Solyc10g086280	5
Solyc11g066950	5
Solyc12g045030	5
Solyc01g098090	4
Solyc02g062640	4
Solyc02g071150	4
Solyc02g092730	4
Solyc03g078570	4
Solyc04g026030	4
Solyc05g025510	4
Solyc06g050810	4
Solyc06g074770	4
Solyc07g044880	4
Solyc07g056200	4
Solyc08g068770	4
Solyc09g011300	4
Solyc09g075460	4
Solyc10g005560	4
Solyc10g012080	4
Solyc11g008450	4
Solyc11g012460	4
Solyc11g070120	4
Solyc12g042600	4
Solyc12g044940	4
Solyc12g088370	4
Solyc03g031530	3
Solyc03g082380	3
Solyc03g117860	3
Solyc08g075450	3
Solyc09g082250	3
Solyc11g017000	3
Solyc11g071840	3
Solyc12g044440	3
Solyc01g005760	2
Solyc01g008200	2
Solyc06g005110	2
Solyc07g008620	2
Solyc09g082240	2
Solyc10g007440	2
Solyc01g008190	1
Solyc01g100140	1
Solyc03g096100	1
Solyc11g065610	1
