Gen	Count
Solyc04g081490	58
Solyc12g056220	17
Solyc07g008320	16
Solyc08g066790	12
Solyc03g113220	11
Solyc09g008010	9
Solyc09g089610	9
Solyc10g055200	9
Solyc03g083270	8
Solyc01g104740	7
Solyc02g089220	7
Solyc02g089630	7
Solyc03g097340	7
Solyc04g080230	7
Solyc06g053710	7
Solyc07g049390	7
Solyc09g075440	7
Solyc11g007940	7
Solyc12g008490	7
Solyc12g098980	7
Solyc01g005100	6
Solyc01g009040	6
Solyc01g009970	6
Solyc01g087740	6
Solyc01g095300	6
Solyc01g100430	6
Solyc01g107860	6
Solyc01g109260	6
Solyc01g109460	6
Solyc01g109710	6
Solyc01g112220	6
Solyc02g069800	6
Solyc02g077780	6
Solyc02g077850	6
Solyc02g078220	6
Solyc02g079040	6
Solyc02g079230	6
Solyc02g081460	6
Solyc02g082510	6
Solyc02g085050	6
Solyc02g087730	6
Solyc02g087880	6
Solyc02g089620	6
Solyc02g091100	6
Solyc02g092910	6
Solyc02g094160	6
Solyc03g025720	6
Solyc03g118860	6
Solyc04g011520	6
Solyc05g009390	6
Solyc05g011920	6
Solyc05g014370	6
Solyc05g050800	6
Solyc06g008330	6
Solyc06g053760	6
Solyc06g068740	6
Solyc06g069570	6
Solyc07g007370	6
Solyc07g053550	6
Solyc07g066040	6
Solyc07g066060	6
Solyc08g006150	6
Solyc08g006430	6
Solyc08g014290	6
Solyc08g062190	6
Solyc08g078850	6
Solyc08g080130	6
Solyc09g005080	6
Solyc09g010400	6
Solyc09g061310	6
Solyc09g064430	6
Solyc09g075820	6
Solyc09g082980	6
Solyc09g092340	6
Solyc10g044780	6
Solyc11g006180	6
Solyc11g068710	6
Solyc11g072690	6
Solyc12g006380	6
Solyc12g009260	6
Solyc12g015910	6
Solyc12g040680	6
Solyc12g095910	6
Solyc01g095010	5
Solyc01g107820	5
Solyc01g108890	5
Solyc01g111360	5
Solyc02g064750	5
Solyc02g079330	5
Solyc02g079350	5
Solyc03g063600	5
Solyc04g025530	5
Solyc04g077050	5
Solyc05g056570	5
Solyc06g050930	5
Solyc06g072330	5
Solyc07g043310	5
Solyc08g006700	5
Solyc08g061480	5
Solyc09g011540	5
Solyc09g090120	5
Solyc10g005310	5
Solyc10g083610	5
Solyc12g045030	5
Solyc02g080970	4
Solyc02g090980	4
Solyc03g081210	4
Solyc06g050810	4
Solyc06g073540	4
Solyc06g074770	4
Solyc07g032480	4
Solyc08g061220	4
Solyc09g047910	4
Solyc09g075460	4
Solyc10g008320	4
Solyc10g012080	4
Solyc10g083290	4
Solyc12g044940	4
Solyc12g088370	4
Solyc03g117860	3
Solyc06g008280	3
Solyc06g053180	3
Solyc08g075450	3
Solyc11g071840	3
Solyc12g044440	3
Solyc01g087760	2
Solyc07g008620	2
Solyc10g007440	2
Solyc01g008930	1
Solyc10g084330	1
