OG	n_genes	n_species	Dom. pepper	Potato	S. Pennelli	S. pimp	Tomato	Tomato Cherry	Wild pepper
OG0	2	2			Sopen01g005060.1		Solyc01g009510.2.1		
OG1	2	2			Sopen01g006070.3		Solyc01g010470.2.1		
OG2	2	2			Sopen10g004820.1		Solyc10g009040.4.1		
OG3	2	2					Solyc01g008400.3.1	SLYcer01g00490.1	
OG4	2	2				SPI10g00409.1	Solyc10g008040.4.1		
OG5	2	2					Solyc02g005100.2.1	SLYcer02g00306.1	
OG6	2	2			Sopen01g030030.1		Solyc08g045800.2.1		
OG7	2	2					Solyc02g005500.1.1	SLYcer02g00411.1	
OG8	2	2					Solyc10g062090.1.1	SLYcer10g03050.1	
OG9	2	2			Sopen01g001850.1		Solyc01g005850.2.1		
OG10	2	2					Solyc06g011500.3.1	SLYcer06g01040.1	
OG11	2	2					Solyc10g009100.3.1	SLYcer10g00669.1	
OG12	2	2				SPI04g01090.1	Solyc04g015800.1.1		
OG13	2	2				SPI01g02900.1	Solyc01g020430.2.1		
OG14	2	2				SPI12g00937.1	Solyc00g020030.1.1		
OG15	2	2			Sopen09g010200.1		Solyc09g016940.4.1		
OG16	2	2			Sopen01g003330.1		Solyc01g007790.4.1		
OG17	2	2					Solyc05g005500.1.1	SLYcer05g00138.1	
OG18	2	2				SPI05g00903.1	Solyc00g019750.1.1		
OG19	2	2					Solyc05g024000.1.1	SLYcer05g02202.1	
OG20	2	2					Solyc02g005300.1.1	SLYcer02g00363.1	
OG21	2	2					Solyc02g043900.1.1	SLYcer02g00034.1	
OG22	2	2			Sopen02g009950.1		Solyc02g031700.3.1		
OG23	2	2			Sopen07g009820.1		Solyc07g021030.3.1		
OG24	2	2				SPI08g05040.1	Solyc02g071020.3.1		
OG25	2	2			Sopen07g001730.1		Solyc07g005620.2.1		
OG26	2	2			Sopen05g004510.1		Solyc05g008720.2.1		
OG27	2	2					Solyc05g010200.2.1	SLYcer05g00685.1	
OG28	2	2			Sopen09g001420.1		Solyc09g005430.3.1		
OG29	2	2			Sopen09g010530.2		Solyc09g018080.3.1		
OG30	2	2			Sopen06g005250.1		Solyc06g008053.1.1		
OG31	2	2					Solyc05g009810.2.1	SLYcer05g00640.1	
OG32	2	2			Sopen07g009800.1		Solyc03g051640.3.1		
OG33	2	2					Solyc07g045500.1.1	SLYcer07g04007.1	
OG34	2	2			Sopen02g027300.1		Solyc02g082600.4.1		
OG35	2	2			Sopen02g009200.1		Solyc02g055470.2.1		
OG36	2	2			Sopen08g006320.2		Solyc08g016070.3.1		
OG37	2	2			Sopen07g002630.1		Solyc07g006550.2.1		
OG38	2	2					Solyc08g007070.2.1	SLYcer08g00373.1	
OG39	2	2				SPI05g05000.1	Solyc05g056590.4.1		
OG40	2	2			Sopen03g036300.4		Solyc07g007420.3.1		
OG41	2	2					Solyc10g062100.1.1	SLYcer10g03051.1	
OG42	2	2			Sopen01g012580.1		Solyc01g016900.1.1		
OG43	2	2					Solyc00g013110.1.1	SLYcer10g03034.1	
OG44	2	2					Solyc00g126010.1.1	SLYcer10g03032.1	
OG45	2	2				SPI10g00531.1	Solyc10g009120.2.1		
OG46	2	2					Solyc01g108060.2.1	SLYcer01g08201.1	
OG47	2	2					Solyc10g062130.1.1	SLYcer10g03060.1	
OG48	2	2			Sopen12g015500.1		Solyc01g060170.4.1		
OG49	2	2					Solyc01g103000.3.1	SLYcer01g07351.1	
OG50	2	2				SPI01g05503.1	Solyc01g060015.1.1		
OG51	2	2					Solyc09g011900.1.1	SLYcer09g01077.1	
OG52	2	2			Sopen01g004010.1		Solyc03g096225.1.1		
OG53	2	2			Sopen12g001500.1		Solyc12g005550.3.1		
OG54	2	2			Sopen01g045040.1		Solyc01g102640.2.1		
OG55	2	2				SPI10g02660.1	Solyc10g050620.1.1		
OG56	2	2			Sopen03g030230.1		Solyc03g111060.3.1		
OG57	2	2				SPI01g02340.1	Solyc01g016700.3.1		
OG58	2	2					Solyc10g045040.1.1	SLYcer10g03260.1	
OG59	2	2				SPI10g03060.1	Solyc10g054207.1.1		
OG60	2	2				SPI01g04562.1	Solyc01g050050.1.1		
OG61	2	2				SPI01g00916.1	Solyc00g052540.1.1		
OG62	2	2				SPI05g00810.1	Solyc05g010725.1.1		
OG63	2	2				SPI10g02656.1	Solyc10g050600.1.1		
OG64	2	2			Sopen03g005480.1		Solyc03g031610.1.1		
OG65	2	2			Sopen04g010110.1		Solyc04g039940.3.1		
OG66	2	2					Solyc05g041700.1.1	SLYcer05g03107.1	
OG67	2	2					Solyc01g079440.1.1	SLYcer01g06070.1	
OG68	2	2				SPI06g00904.1	Solyc06g011580.1.1		
OG69	2	2			Sopen08g010870.1		Solyc08g048510.1.1		
OG70	2	2					Solyc01g067005.1.1	SLYcer01g05770.1	
OG71	2	2				SPI01g07505.1	Solyc01g097900.1.1		
OG72	2	2				SPI02g01502.1	Solyc02g032060.1.1		
OG73	2	2			Sopen02g010750.1		Solyc02g032410.3.1		
OG74	2	2					Solyc02g005140.3.1	SLYcer02g00312.1	
OG75	2	2					Solyc02g062015.1.1	SLYcer02g03080.1	
OG76	2	2					Solyc02g049080.1.1	SLYcer02g00128.1	
OG77	2	2					Solyc09g008210.1.1	SLYcer09g00422.1	
OG78	2	2			Sopen03g031400.2		Solyc03g112300.3.1		
OG79	2	2			Sopen04g015270.1		Solyc04g026300.1.1		
OG80	2	2					Solyc02g043990.1.1	SLYcer02g00014.1	
OG81	2	2				SPI10g02469.1	Solyc10g050030.2.1		
OG82	2	2			Sopen01g042070.1		Solyc01g098520.3.1		
OG83	2	2			Sopen09g026230.1		Solyc07g018005.1.1		
OG84	2	2					Solyc05g052090.1.1	SLYcer10g02460.1	
OG85	2	2				SPI07g00191.1	Solyc07g005420.2.1		
OG86	2	2					Solyc09g008207.1.1	SLYcer09g00421.1	
OG87	2	2			Sopen05g017890.1		Solyc05g021500.2.1		
OG88	2	2				SPI07g03034.1	Solyc07g021300.1.1		
OG89	2	2			Sopen01g042080.1		Solyc01g098530.3.1		
OG90	2	2					Solyc00g025300.1.1	SLYcer08g01494.1	
OG91	2	2			Sopen05g010640.1		Solyc05g015360.2.1		
OG92	2	2			Sopen09g035070.1		Solyc09g092190.1.1		
OG93	2	2			Sopen05g009910.1		Solyc05g014720.4.1		
OG94	2	2				SPI05g00621.1	Solyc05g009405.1.1		
OG95	2	2					Solyc09g010760.2.1	SLYcer09g00941.1	
OG96	2	2					Solyc06g043010.1.1	SLYcer06g03094.1	
OG97	2	2				SPI03g00505.1	Solyc03g006915.1.1		
OG98	2	2				SPI10g00385.1	Solyc10g007790.3.1		
OG99	2	2					Solyc08g013803.1.1	SLYcer08g00608.1	
OG100	2	2			Sopen04g006710.1		Solyc04g014550.3.1		
OG101	2	2					Solyc07g016160.3.1	SLYcer07g00880.1	
OG102	2	2			Sopen06g006770.1		Solyc06g011540.4.1		
OG103	2	2			Sopen08g019490.1		Solyc08g065800.1.1		
OG104	2	2			Sopen07g006500.1		Solyc07g017675.1.1		
OG105	2	2					Solyc09g005095.1.1	SLYcer09g00179.1	
OG106	2	2					Solyc02g063080.1.1	SLYcer02g03230.1	
OG107	2	2				SPI04g03106.1	Solyc04g050220.2.1		
OG108	2	2					Solyc02g005330.1.1	SLYcer02g00366.1	
OG109	2	2				SPI03g05460.1	Solyc03g122000.4.1		
OG110	2	2				SPI05g00241.1	Solyc05g006330.2.1		
OG111	2	2					Solyc06g030520.1.1	SLYcer06g02530.1	
OG112	2	2					Solyc09g060070.2.1	SLYcer09g03231.1	
OG113	2	2				SPI09g02072.1	Solyc09g030470.1.1		
OG114	2	2				SPI04g00644.1	Solyc04g010280.2.1		
OG115	2	2				SPI09g02073.1	Solyc09g030460.1.1		
OG116	2	2					Solyc05g013090.3.1	SLYcer05g00926.1	
OG117	2	2					Solyc07g054000.3.1	SLYcer07g04921.1	
OG118	2	2					Solyc05g040010.3.1	SLYcer05g02876.1	
OG119	2	2				SPI06g03609.1	Solyc06g054100.2.1		
OG120	2	2				SPI07g00723.1	Solyc07g009450.1.1		
OG121	2	2				SPI05g03057.1	Solyc05g025800.1.1		
OG122	2	2			Sopen04g027860.1		Solyc05g005610.4.1		
OG123	2	2				SPI05g04207.1	Solyc05g050065.1.1		
OG124	2	2					Solyc06g074520.1.1	SLYcer06g05009.1	
OG125	2	2				SPI07g00775.1	Solyc07g014600.2.1		
OG126	2	2				SPI05g00139.1	Solyc05g005340.3.1		
OG127	2	2				SPI08g00163.1	Solyc08g005750.3.1		
OG128	2	2					Solyc06g036770.1.1	SLYcer06g03009.1	
OG129	2	2				SPI06g00561.1	Solyc06g009840.3.1		
OG130	2	2				SPI04g00549.1	Solyc04g009480.1.1		
OG131	2	2				SPI07g00606.1	Solyc07g008475.1.1		
OG132	2	2				SPI05g00568.1	Solyc05g008880.1.1		
OG133	2	2				SPI02g00876.1	Solyc02g020880.2.1		
OG134	2	2					Solyc02g005440.2.1	SLYcer02g00394.1	
OG135	2	2			Sopen07g005620.2		Solyc07g014740.3.1		
OG136	2	2					Solyc07g007770.2.1	SLYcer07g00462.1	
OG137	2	2				SPI07g05650.1	Solyc07g054050.3.1		
OG138	2	2				SPI05g00677.1	Solyc05g009860.3.1		
OG139	2	2				SPI01g01264.1	Solyc01g011500.1.1		
OG140	2	2					Solyc10g050105.1.1	SLYcer10g04117.1	
OG141	2	2					Solyc01g107230.2.1	SLYcer01g08110.1	
OG142	2	2					Solyc10g018905.1.1	SLYcer10g01230.1	
OG143	2	2				SPI08g00125.1	Solyc08g150101.1.1		
OG144	2	2				SPI11g00408.1	Solyc01g017390.1.1		
OG145	2	2					Solyc04g011710.1.1	SLYcer04g00941.1	
OG146	2	2				SPI04g01091.1	Solyc04g015810.1.1		
OG147	2	2					Solyc10g049810.1.1	SLYcer10g04051.1	
OG148	2	2			Sopen01g051180.1		Solyc01g108970.4.1		
OG149	2	2			Sopen12g035030.1		Solyc12g100360.1.1		
OG150	2	2			Sopen01g032810.1		Solyc01g081240.3.1		
OG151	2	2			Sopen11g003990.1		Solyc11g008220.3.1		
OG152	2	2					Solyc02g014610.1.1	SLYcer02g01530.1	
OG153	2	2				SPI01g02841.1	Solyc01g020360.1.1		
OG154	2	2					Solyc00g500231.1.1	SLYcer09g01125.1	
OG155	2	2					Solyc02g010680.1.1	SLYcer02g01361.1	
OG156	2	2					Solyc05g014220.1.1	SLYcer05g01081.1	
OG157	2	2				SPI01g08250.1	Solyc01g106270.1.1		
OG158	2	2					Solyc10g080120.1.1	SLYcer10g05383.1	
OG159	2	2					Solyc10g044950.1.1	SLYcer10g03210.1	
OG160	2	2				SPI10g03096.1	Solyc10g054310.1.1		
OG161	2	2			Sopen05g013930.1		Solyc05g016610.1.1		
OG162	2	2					Solyc01g110840.3.1	SLYcer01g08460.1	
OG163	2	2					Solyc10g049930.1.1	SLYcer10g04071.1	
OG164	2	2					Solyc10g075065.1.1	SLYcer10g05014.1	
OG165	2	2					Solyc10g076540.1.1	SLYcer10g05107.1	
OG166	2	2				SPI01g08470.1	Solyc01g108550.1.1		
OG167	2	2					Solyc01g017230.2.1	SLYcer01g02460.1	
OG168	2	2					Solyc01g020120.3.1	SLYcer01g02667.1	
OG169	2	2					Solyc10g045020.1.1	SLYcer10g03258.1	
OG170	2	2					Solyc10g045080.2.1	SLYcer10g03271.1	
OG171	2	2			Sopen05g021530.1		Solyc05g025710.1.1		
OG172	2	2			Sopen06g022610.1		Solyc06g063160.1.1		
OG173	2	2			Sopen12g018500.1		Solyc03g013430.3.1		
OG174	2	2			Sopen10g032870.1		Solyc10g083370.1.1		
OG175	2	2				SPI01g08303.1	Solyc01g106840.2.1		
OG176	2	2					Solyc12g014040.1.1	SLYcer07g05308.1	
OG177	2	2					Solyc10g047080.1.1	SLYcer10g03625.1	
