OG	Query_species	Target_species	Query_accession	Target_accession	Query_length	Target_length	Alignment_length	Bit_score	Evalue	Normalized_bit_score
OG0	Tomato	S. Pennelli	Solyc01g009510.2.1	Sopen01g005060.1	183	182	182	309.0	7.59e-109	1.6904311535459078
OG0	S. Pennelli	Tomato	Sopen01g005060.1	Solyc01g009510.2.1	182	183	182	308.0	9.94e-109	1.6904311535459078
OG420	Tomato	Tomato Cherry	Solyc05g025660.1.1	SLYcer05g02441.1	118	139	117	225.0	1.37e-77	1.7585050603584929
OG420	Tomato Cherry	Tomato	SLYcer05g02441.1	Solyc05g025660.1.1	139	118	117	224.0	2.3300000000000003e-77	1.7585050603584929
OG10124	S. pimp	Tomato Cherry	SPI04g04495.1	SLYcer04g05022.1	1048	1048	1048	851.0	1.1e-295	0.8110687022900763
OG10124	Tomato	S. pimp	Solyc04g074050.4.1	SPI04g04495.1	816	1048	1048	791.0	1.12e-275	0.8626796138302649
OG10124	Tomato Cherry	Tomato	SLYcer04g05022.1	Solyc04g074050.4.1	1048	816	1048	798.0	1e-278	0.87017287831163
OG10124	Tomato	Tomato Cherry	Solyc04g074050.4.1	SLYcer04g05022.1	816	1048	1048	799.0	7.71e-279	0.87017287831163
OG10124	S. pimp	Tomato	SPI04g04495.1	Solyc04g074050.4.1	1048	816	1048	792.0	2.5900000000000002e-276	0.8626796138302649
OG10124	Tomato Cherry	S. pimp	SLYcer04g05022.1	SPI04g04495.1	1048	1048	1048	849.0	6.15e-295	0.8110687022900763
OG10565	S. pimp	Tomato	SPI05g01982.1	Solyc08g044610.3.1	65	59	55	61.2	9.25e-15	0.992490221642764
OG10565	Tomato Cherry	Tomato	SLYcer05g01519.1	Solyc08g044610.3.1	65	59	55	61.2	9.25e-15	0.992490221642764
OG10565	S. pimp	Tomato Cherry	SPI05g01982.1	SLYcer05g01519.1	65	65	65	130.0	7.369999999999999e-42	2.0
OG10565	Tomato	Tomato Cherry	Solyc08g044610.3.1	SLYcer05g01519.1	59	65	55	61.6	8.26e-15	0.992490221642764
OG10565	Tomato Cherry	S. pimp	SLYcer05g01519.1	SPI05g01982.1	65	65	65	130.0	7.28e-42	2.0
OG10565	Tomato	S. pimp	Solyc08g044610.3.1	SPI05g01982.1	59	65	55	61.6	8.17e-15	0.992490221642764
OG10629	Tomato	S. pimp	Solyc05g051540.3.1	SPI05g04419.1	131	150	120	237.0	6.26e-82	1.690763358778626
OG10629	S. pimp	Tomato	SPI05g04419.1	Solyc05g051540.3.1	150	131	120	236.0	1.05e-81	1.690763358778626
OG10629	Tomato	Tomato Cherry	Solyc05g051540.3.1	SLYcer10g02544.1	131	150	120	240.0	2.6899999999999998e-83	1.716030534351145
OG10629	S. pimp	Tomato Cherry	SPI05g04419.1	SLYcer10g02544.1	150	150	150	300.0	1.92e-106	2.0
OG10629	Tomato Cherry	S. pimp	SLYcer10g02544.1	SPI05g04419.1	150	150	150	300.0	1.34e-106	2.0
OG10629	Tomato Cherry	Tomato	SLYcer10g02544.1	Solyc05g051540.3.1	150	131	120	240.0	3.13e-83	1.716030534351145
OG11092	Potato	S. Pennelli	PGSC0003DMP400006625	Sopen04g034700.1	1102	1136	1101	878.0	3.81e-304	0.783449106617929
OG11092	Potato	Tomato	PGSC0003DMP400006625	Solyc04g081080.1.1	1102	1137	1102	864.0	4.6899999999999997e-299	0.7715080280995456
OG11092	Tomato	Potato	Solyc04g081080.1.1	PGSC0003DMP400006625	1137	1102	1102	863.0	1.99e-298	0.7715080280995456
OG11092	S. Pennelli	Potato	Sopen04g034700.1	PGSC0003DMP400006625	1136	1102	1101	875.0	5.92e-303	0.783449106617929
OG11092	Tomato	S. Pennelli	Solyc04g081080.1.1	Sopen04g034700.1	1137	1136	1136	989.0	0.0	0.8688964813507253
OG11092	S. Pennelli	Tomato	Sopen04g034700.1	Solyc04g081080.1.1	1136	1137	1136	986.0	0.0	0.8688964813507253
OG11163	Tomato	S. pimp	Solyc12g056730.1.1	SPI12g04496.1	1078	1114	1114	943.0	0.0	0.8615612394786543
OG11163	Tomato	Potato	Solyc12g056730.1.1	PGSC0003DMP400040148	1078	1079	1079	911.0	1.94e-318	0.844228061095531
OG11163	S. pimp	Tomato	SPI12g04496.1	Solyc12g056730.1.1	1114	1078	1114	945.0	0.0	0.8615612394786543
