OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG0	(Sopen01g005060.1[&&NHX:species=S. Pennelli],Solyc01g009510.2.1[&&NHX:species=Tomato])S;	0	0	0	
OG420	(SLYcer05g02441.1[&&NHX:species=Tomato Cherry],Solyc05g025660.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG10124	(SPI04g04495.1[&&NHX:species=S. pimp],Solyc04g074050.4.1[&&NHX:species=Tomato],SLYcer04g05022.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG10565	(SPI05g01982.1[&&NHX:species=S. pimp],SLYcer05g01519.1[&&NHX:species=Tomato Cherry],Solyc08g044610.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG10629	(Solyc05g051540.3.1[&&NHX:species=Tomato],SPI05g04419.1[&&NHX:species=S. pimp],SLYcer10g02544.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG11092	(PGSC0003DMP400006625[&&NHX:species=Potato],Solyc04g081080.1.1[&&NHX:species=Tomato],Sopen04g034700.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG11163	(Solyc12g056730.1.1[&&NHX:species=Tomato],SPI12g04496.1[&&NHX:species=S. pimp],PGSC0003DMP400040148[&&NHX:species=Potato])S;	0	0	0	
OG11177	(Solyc12g098100.3.1[&&NHX:species=Tomato],PGSC0003DMP400029483[&&NHX:species=Potato],SPI12g04938.1[&&NHX:species=S. pimp])S;	0	0	0	
OG12933	((SLYcer08g03933.1[&&NHX:species=Tomato Cherry],Solyc06g006020.3.1[&&NHX:species=Tomato])S,(Solyc06g006028.1.1[&&NHX:species=Tomato],SPI06g00155.1[&&NHX:species=S. pimp])S)D;	0	0	0	
OG12947	((Solyc09g061550.2.1[&&NHX:species=Tomato],Solyc09g061570.1.1[&&NHX:species=Tomato])D,(SLYcer09g03392.1[&&NHX:species=Tomato Cherry],SLYcer09g03381.1[&&NHX:species=Tomato Cherry])D)S;	0	0	0	
OG12988	((Sopen05g015040.1[&&NHX:species=S. Pennelli],Sopen05g015040.2[&&NHX:species=S. Pennelli])D,SPI05g02294.1[&&NHX:species=S. pimp],Solyc05g018300.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG13126	(Sopen03g029640.1[&&NHX:species=S. Pennelli],SLYcer03g04220.1[&&NHX:species=Tomato Cherry],Solyc03g019980.2.1[&&NHX:species=Tomato],SPI03g04279.1[&&NHX:species=S. pimp])S;	0	0	0	
OG13170	(SLYcer10g05247.1[&&NHX:species=Tomato Cherry],(SLYcer10g05246.1[&&NHX:species=Tomato Cherry],SPI10g03729.1[&&NHX:species=S. pimp],Solyc10g078800.3.1[&&NHX:species=Tomato])S)D;	0	0	0	
OG13288	(SLYcer11g02788.1[&&NHX:species=Tomato Cherry],SPI11g02848.1[&&NHX:species=S. pimp],Solyc11g042990.2.1[&&NHX:species=Tomato],Sopen11g019340.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG13306	(PGSC0003DMP400012600[&&NHX:species=Potato],Sopen07g030190.1[&&NHX:species=S. Pennelli],Solyc07g061910.1.1[&&NHX:species=Tomato],SPI07g05950.1[&&NHX:species=S. pimp])S;	0	0	0	
OG13388	(PGSC0003DMP400054176[&&NHX:species=Potato],Sopen07g029780.1[&&NHX:species=S. Pennelli],Solyc07g056410.3.1[&&NHX:species=Tomato],SLYcer07g05158.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG13412	(PGSC0003DMP400046364[&&NHX:species=Potato],Solyc06g036190.1.1[&&NHX:species=Tomato],SLYcer06g02913.1[&&NHX:species=Tomato Cherry],SPI06g02713.1[&&NHX:species=S. pimp])S;	0	0	0	
