Gen_a	Gen_b	Species_a	Species_b	og	normalized_bit_score	Hormone
Solyc07g061780	Sopen07g030100	tomato	TomatoPennelli	15834	1	ABA
Solyc07g061780	SLYcer07g05214	tomato	TomatoCerasiforme	15834	1	ABA
Solyc07g061780	Capang07g002049	tomato	CaChiltepin.pep	15834	1	ABA
Solyc02g084820	Capana02g002742	tomato	CaZL1.pep	20335	1	ABA
Solyc02g084820	Sopen02g029490	tomato	TomatoPennelli	20335	1	ABA
Solyc02g084820	Capang02g002465	tomato	CaChiltepin.pep	20335	1	ABA
Solyc02g084820	SLYcer02g04881	tomato	TomatoCerasiforme	20335	1	ABA
Solyc02g084820	PGSC0003DMP400006456\tPGSC0003DMT400009303	tomato	Potato	20335	1	ABA
Solyc02g084820	SPI02g03804	tomato	Tomatopimp	20335	1	ABA
Solyc02g087760	SLYcer02g05186	tomato	TomatoCerasiforme	20667	1	ABA
Solyc02g087760	Capang02g003124	tomato	CaChiltepin.pep	20667	1	ABA
Solyc02g087760	PGSC0003DMP400002357\tPGSC0003DMT400003322	tomato	Potato	20667	1	ABA
Solyc02g087760	PGSC0003DMP400002358\tPGSC0003DMT400003323	tomato	Potato	20667	1	ABA
Solyc11g011610	Capang11g001700	tomato	CaChiltepin.pep	22337	1	ABA
Solyc11g011610	Capana00g002515	tomato	CaZL1.pep	22337	1	ABA
Solyc11g011610	PGSC0003DMP400023559\tPGSC0003DMT400034651	tomato	Potato	22337	1	ABA
Solyc11g011620	SLYcer11g00685	tomato	TomatoCerasiforme	22337	1	ABA
Solyc06g008620	PGSC0003DMP400009458\tPGSC0003DMT400013664	tomato	Potato	24474	1	ABA
Solyc06g008620	SPI06g00330	tomato	Tomatopimp	24474	2	ABA
Solyc09g091470	Sopen09g034400	tomato	TomatoPennelli	24628	1	ABA
Solyc04g081300	Sopen04g034920	tomato	TomatoPennelli	24809	1	ABA
Solyc04g081300	SPI04g05236	tomato	Tomatopimp	24809	1	ABA
Solyc04g081300	PGSC0003DMP400006740\tPGSC0003DMT400009667	tomato	Potato	24809	1	ABA
Solyc04g081300	Capang04g000176	tomato	CaChiltepin.pep	24809	1	ABA
Solyc01g099140	Capang10g001474	tomato	CaChiltepin.pep	25060	1	ABA
Solyc12g049290	Capang00g005389	tomato	CaChiltepin.pep	25362	1	ABA
Solyc12g049290	PGSC0003DMP400020586\tPGSC0003DMT400030304	tomato	Potato	25362	1	ABA
Solyc05g015530	SLYcer05g01282	tomato	TomatoCerasiforme	25553	1	ABA
Solyc04g014680	Capana05g000159	tomato	CaZL1.pep	26269	*	ABA
Solyc04g014680	PGSC0003DMP400040781\tPGSC0003DMT400060566	tomato	Potato	26269	1	ABA
Solyc04g014680	SLYcer04g01188	tomato	TomatoCerasiforme	26269	1	ABA
Solyc04g014680	Capang05g000156	tomato	CaChiltepin.pep	26269	1	ABA
Solyc04g014680	SPI04g00913	tomato	Tomatopimp	26269	1	ABA
Solyc04g014680	Sopen04g006780	tomato	TomatoPennelli	26269	1	ABA
Solyc03g097270	Capang03g001644	tomato	CaChiltepin.pep	26290	1	ABA
Solyc03g097270	SLYcer03g03982	tomato	TomatoCerasiforme	26290	1	ABA
Solyc03g097270	PGSC0003DMP400045978\tPGSC0003DMT400068064	tomato	Potato	26290	1	ABA
Solyc03g097270	Sopen03g028040	tomato	TomatoPennelli	26290	1	ABA
Solyc03g097270	SPI03g04041	tomato	Tomatopimp	26290	1	ABA
Solyc12g040790	SPI12g03810	tomato	Tomatopimp	26334	2	ABA
Solyc12g040790	Sopen12g020550	tomato	TomatoPennelli	26334	2	ABA
Solyc12g040790	SLYcer12g03853	tomato	TomatoCerasiforme	26334	2	ABA
Solyc12g040790	PGSC0003DMP400025476\tPGSC0003DMT400037473	tomato	Potato	26334	2	ABA
Solyc12g013690	Sopen12g007040	tomato	TomatoPennelli	26763	1	ABA
Solyc10g083630	Capana10g001947	tomato	CaZL1.pep	26764	1	ABA
Solyc10g083630	SLYcer10g05668	tomato	TomatoCerasiforme	26764	1	ABA
Solyc02g082700	Capang02g002183	tomato	CaChiltepin.pep	26961	1	ABA
Solyc12g044630	SLYcer12g04192	tomato	TomatoCerasiforme	27016	2	ABA
Solyc12g044630	SPI12g04131	tomato	Tomatopimp	27016	2	ABA
Solyc12g044630	PGSC0003DMP400046598\tPGSC0003DMT400069000	tomato	Potato	27016	2	ABA
Solyc12g044630	Sopen12g023070	tomato	TomatoPennelli	27016	2	ABA
Solyc12g044630	Capana12g001255	tomato	CaZL1.pep	27016	1	ABA
Solyc12g044630	Capana06g001250	tomato	CaZL1.pep	27016	1	ABA
Solyc12g044630	Capang12g001066	tomato	CaChiltepin.pep	27016	1	ABA
Solyc12g044630	Capang06g001209	tomato	CaChiltepin.pep	27016	1	ABA
Solyc01g096520	Sopen01g040250	tomato	TomatoPennelli	27088	2	ABA
Solyc01g096520	SLYcer01g07895	tomato	TomatoCerasiforme	27088	1	ABA
Solyc01g096520	PGSC0003DMP400009568\tPGSC0003DMT400013826	tomato	Potato	27088	2	ABA
Solyc01g096520	Capana08g001129	tomato	CaZL1.pep	27088	1	ABA
Solyc01g096520	Capang01g003701	tomato	CaChiltepin.pep	27088	2	ABA
Solyc08g069060	Sopen08g022710	tomato	TomatoPennelli	27406	2	ABA
Solyc08g069060	PGSC0003DMP400051442\tPGSC0003DMT400075964	tomato	Potato	27406	1	ABA
Solyc06g075960	Capana06g000450	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g002754	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g000449	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g002757	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana01g002565	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana05g000360	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g002758	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g002756	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g000438	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g002755	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g000440	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g000447	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana11g000699	tomato	CaZL1.pep	27476	1	ABA
Solyc06g075960	Capana06g002759	tomato	CaZL1.pep	27476	1	ABA
Solyc05g055440	Sopen05g033890	tomato	TomatoPennelli	27519	1	ABA
Solyc08g080640	Sopen08g028950	tomato	TomatoPennelli	27618	2	ABA
Solyc08g080640	Capang01g000257	tomato	CaChiltepin.pep	27618	2	ABA
Solyc08g080640	SPI08g06189	tomato	Tomatopimp	27618	2	ABA
Solyc01g060020	PGSC0003DMP400034721\tPGSC0003DMT400051530	tomato	Potato	27628	1	ABA
Solyc01g100040	SPI01g07720	tomato	Tomatopimp	27681	2	ABA
Solyc01g100040	PGSC0003DMP400042936\tPGSC0003DMT400063747	tomato	Potato	27681	2	ABA
Solyc01g100040	Capang01g004114	tomato	CaChiltepin.pep	27681	1	ABA
Solyc01g100040	Sopen01g043560	tomato	TomatoPennelli	27681	2	ABA
Solyc01g100040	Capana08g001566	tomato	CaZL1.pep	27681	1	ABA
