Gen_a	Gen_b	Species_a	Species_b	og	normalized_bit_score	Hormone
Solyc06g005110	SLYcer06g00263	tomato	TomatoCerasiforme	9888	2	Ethylene
Solyc06g005110	SPI06g00033	tomato	Tomatopimp	9888	2	Ethylene
Solyc02g071150	SPI02g02810	tomato	Tomatopimp	14449	1	Ethylene
Solyc02g071150	PGSC0003DMP400005538\tPGSC0003DMT400007970	tomato	Potato	14449	1	Ethylene
Solyc02g071150	Sopen02g020230	tomato	TomatoPennelli	14449	1	Ethylene
Solyc02g071150	SLYcer02g03914	tomato	TomatoCerasiforme	14449	1	Ethylene
Solyc06g083260	Sopen06g034640	tomato	TomatoPennelli	15709	1	Ethylene
Solyc06g083260	SPI06g05273	tomato	Tomatopimp	15709	1	Ethylene
Solyc06g083260	PGSC0003DMP400034872\tPGSC0003DMT400051796	tomato	Potato	15709	1	Ethylene
Solyc06g083260	SLYcer06g05382	tomato	TomatoCerasiforme	15709	1	Ethylene
Solyc06g083260	Capang06g000187	tomato	CaChiltepin.pep	15709	1	Ethylene
Solyc06g050930	Sopen06g016660	tomato	TomatoPennelli	15964	1	Ethylene
Solyc06g050930	Capana06g002262	tomato	CaZL1.pep	15964	1	Ethylene
Solyc06g050930	Capang06g002119	tomato	CaChiltepin.pep	15964	1	Ethylene
Solyc06g050930	SPI06g03340	tomato	Tomatopimp	15964	2	Ethylene
Solyc06g050930	SLYcer06g03418	tomato	TomatoCerasiforme	15964	2	Ethylene
Solyc08g077790	PGSC0003DMP400045492\tPGSC0003DMT400067432	tomato	Potato	16224	1	Ethylene
Solyc08g077790	Capang01g000662	tomato	CaChiltepin.pep	16224	1	Ethylene
Solyc08g077790	Capana01g000729	tomato	CaZL1.pep	16224	1	Ethylene
Solyc05g005890	Capana00g003979	tomato	CaZL1.pep	16899	1	Ethylene
Solyc05g005890	SLYcer05g00175	tomato	TomatoCerasiforme	16899	*	Ethylene
Solyc05g005890	SPI05g00193	tomato	Tomatopimp	16899	*	Ethylene
Solyc05g005890	PGSC0003DMP400007388\tPGSC0003DMT400010577	tomato	Potato	16899	*	Ethylene
Solyc05g005890	Sopen05g001920	tomato	TomatoPennelli	16899	*	Ethylene
Solyc01g009040	Capang01g001540	tomato	CaChiltepin.pep	17077	1	Ethylene
Solyc01g009040	SPI01g00602	tomato	Tomatopimp	17077	1	Ethylene
Solyc01g009040	Capana01g001828	tomato	CaZL1.pep	17077	1	Ethylene
Solyc01g009040	Sopen01g004530	tomato	TomatoPennelli	17077	1	Ethylene
Solyc07g007870	SPI07g00529	tomato	Tomatopimp	17194	2	Ethylene
Solyc07g007870	Capang07g000421	tomato	CaChiltepin.pep	17194	1	Ethylene
Solyc07g007870	PGSC0003DMP400053803\tPGSC0003DMT400079356	tomato	Potato	17194	1	Ethylene
Solyc07g007370	SLYcer07g00423	tomato	TomatoCerasiforme	17451	1	Ethylene
Solyc07g007370	Sopen07g003440	tomato	TomatoPennelli	17451	1	Ethylene
Solyc07g007370	Capang07g000344	tomato	CaChiltepin.pep	17451	1	Ethylene
Solyc09g010520	Sopen09g005250	tomato	TomatoPennelli	17554	1	Ethylene
Solyc09g010520	SPI09g00821	tomato	Tomatopimp	17554	1	Ethylene
Solyc09g010520	Capang09g001518	tomato	CaChiltepin.pep	17554	1	Ethylene
Solyc06g071540	Capang06g000891	tomato	CaChiltepin.pep	17783	1	Ethylene
Solyc06g071540	SPI06g04564	tomato	Tomatopimp	17783	2	Ethylene
Solyc06g071540	Sopen06g027830	tomato	TomatoPennelli	17783	2	Ethylene
Solyc06g071540	Capana06g000943	tomato	CaZL1.pep	17783	1	Ethylene
Solyc10g080660	PGSC0003DMP400040937\tPGSC0003DMT400060836	tomato	Potato	17846	2	Ethylene
Solyc10g080660	Capang10g002197	tomato	CaChiltepin.pep	17846	1	Ethylene
Solyc10g080660	SPI10g03926	tomato	Tomatopimp	17846	2	Ethylene
Solyc10g080660	Sopen10g031200	tomato	TomatoPennelli	17846	2	Ethylene
Solyc02g078900	SPI02g03187	tomato	Tomatopimp	18113	2	Ethylene
Solyc02g078900	SLYcer02g04285	tomato	TomatoCerasiforme	18113	2	Ethylene
Solyc02g078900	PGSC0003DMP400038764\tPGSC0003DMT400057603	tomato	Potato	18113	1	Ethylene
Solyc02g078900	Capang02g001794	tomato	CaChiltepin.pep	18113	1	Ethylene
Solyc01g104080	SLYcer01g07240	tomato	TomatoCerasiforme	18229	2	Ethylene
Solyc01g104080	SPI01g08022	tomato	Tomatopimp	18229	2	Ethylene
Solyc01g104080	Capana08g001913	tomato	CaZL1.pep	18229	1	Ethylene
Solyc01g108150	Capang01g004922	tomato	CaChiltepin.pep	18308	1	Ethylene
Solyc01g108150	Capana08g002377	tomato	CaZL1.pep	18308	1	Ethylene
Solyc01g108150	PGSC0003DMP400044914\tPGSC0003DMT400066606	tomato	Potato	18308	1	Ethylene
Solyc05g050800	PGSC0003DMP400012399\tPGSC0003DMT400018012	tomato	Potato	18344	1	Ethylene
Solyc05g050800	Sopen05g029280	tomato	TomatoPennelli	18344	1	Ethylene
Solyc05g050800	Capana05g001589	tomato	CaZL1.pep	18344	1	Ethylene
Solyc05g050800	Capang05g001288	tomato	CaChiltepin.pep	18344	1	Ethylene
Solyc05g050800	SPI05g04314	tomato	Tomatopimp	18344	2	Ethylene
Solyc07g066040	Sopen07g034230	tomato	TomatoPennelli	18568	1	Ethylene
Solyc07g066040	Capana07g002434	tomato	CaZL1.pep	18568	1	Ethylene
Solyc07g066040	SPI07g06360	tomato	Tomatopimp	18568	1	Ethylene
Solyc06g069570	SLYcer06g04605	tomato	TomatoCerasiforme	18585	1	Ethylene
Solyc06g069570	Sopen06g026870	tomato	TomatoPennelli	18585	1	Ethylene
Solyc06g069570	Capang06g000973	tomato	CaChiltepin.pep	18585	1	Ethylene
Solyc06g069570	Capana00g004735	tomato	CaZL1.pep	18585	1	Ethylene
Solyc06g069570	PGSC0003DMP400055866\tPGSC0003DMT400083166	tomato	Potato	18585	1	Ethylene
Solyc06g069570	SPI06g04464	tomato	Tomatopimp	18585	1	Ethylene
Solyc01g102490	SPI01g07867	tomato	Tomatopimp	18693	1	Ethylene
Solyc01g102490	Capana08g001710	tomato	CaZL1.pep	18693	1	Ethylene
Solyc01g102490	Sopen01g044930	tomato	TomatoPennelli	18693	1	Ethylene
Solyc02g069800	SLYcer02g03786	tomato	TomatoCerasiforme	18752	2	Ethylene
Solyc02g069800	PGSC0003DMP400036620\tPGSC0003DMT400054431	tomato	Potato	18752	2	Ethylene
Solyc02g069800	Sopen02g018960	tomato	TomatoPennelli	18752	2	Ethylene
Solyc01g108620	Capana08g002394	tomato	CaZL1.pep	18765	1	Ethylene
Solyc01g108620	SPI01g08477	tomato	Tomatopimp	18765	2	Ethylene
Solyc06g053760	Capana06g002232	tomato	CaZL1.pep	18900	1	Ethylene
Solyc06g053760	PGSC0003DMP400028450\tPGSC0003DMT400041982	tomato	Potato	18900	1	Ethylene
Solyc01g107290	PGSC0003DMP400044603\tPGSC0003DMT400066172	tomato	Potato	18986	1	Ethylene
Solyc01g107290	Capana08g002258	tomato	CaZL1.pep	18986	1	Ethylene
Solyc01g107290	Sopen01g049540	tomato	TomatoPennelli	18986	1	Ethylene
Solyc01g107290	SPI01g08348	tomato	Tomatopimp	18986	1	Ethylene
Solyc02g036380	SLYcer06g03074	tomato	TomatoCerasiforme	19680	1	Ethylene
Solyc02g036380	Capang02g000018	tomato	CaChiltepin.pep	19680	1	Ethylene
Solyc02g036380	SPI02g01771	tomato	Tomatopimp	19680	1	Ethylene
Solyc02g036380	Capana02g000012	tomato	CaZL1.pep	19680	1	Ethylene
Solyc02g036380	Sopen02g011760	tomato	TomatoPennelli	19680	1	Ethylene
Solyc08g062610	SLYcer08g04758	tomato	TomatoCerasiforme	19746	2	Ethylene
Solyc08g062610	Capang00g002686	tomato	CaChiltepin.pep	19746	1	Ethylene
Solyc08g062610	SPI08g04662	tomato	Tomatopimp	19746	2	Ethylene
Solyc08g062610	Sopen08g018130	tomato	TomatoPennelli	19746	1	Ethylene
Solyc08g062610	Sopen08g018080	tomato	TomatoPennelli	19746	1	Ethylene
Solyc08g062610	Capana00g002948	tomato	CaZL1.pep	19746	1	Ethylene
Solyc09g090120	Sopen09g033030	tomato	TomatoPennelli	19994	1	Ethylene
Solyc09g090120	SLYcer09g04934	tomato	TomatoCerasiforme	19994	1	Ethylene
Solyc09g090120	PGSC0003DMP400030102\tPGSC0003DMT400044366	tomato	Potato	19994	1	Ethylene
Solyc09g090120	Capana03g003829	tomato	CaZL1.pep	19994	1	Ethylene
Solyc09g090120	SPI09g04597	tomato	Tomatopimp	19994	1	Ethylene
Solyc10g008600	SPI10g00467	tomato	Tomatopimp	20043	1	Ethylene
Solyc10g008600	SLYcer10g00606	tomato	TomatoCerasiforme	20043	1	Ethylene
Solyc10g008600	Capana10g000421	tomato	CaZL1.pep	20043	1	Ethylene
Solyc07g008770	PGSC0003DMP400050042\tPGSC0003DMT400073923	tomato	Potato	20061	1	Ethylene
Solyc07g008770	PGSC0003DMP400050043\tPGSC0003DMT400073924	tomato	Potato	20061	1	Ethylene
Solyc07g008770	Capang07g001059	tomato	CaChiltepin.pep	20061	0	Ethylene
Solyc07g008770	Sopen07g004710	tomato	TomatoPennelli	20061	1	Ethylene
Solyc07g008770	Capana07g000708	tomato	CaZL1.pep	20061	0	Ethylene
Solyc07g008770	SPI07g00641	tomato	Tomatopimp	20061	1	Ethylene
Solyc07g008770	SLYcer07g00598	tomato	TomatoCerasiforme	20061	1	Ethylene
Solyc06g072110	Capana06g000854	tomato	CaZL1.pep	20128	1	Ethylene
Solyc06g072110	SPI06g04621	tomato	Tomatopimp	20128	1	Ethylene
Solyc06g072110	Sopen06g028400	tomato	TomatoPennelli	20128	1	Ethylene
Solyc06g072110	SLYcer06g04758	tomato	TomatoCerasiforme	20128	1	Ethylene
Solyc06g072110	PGSC0003DMP400047001\tPGSC0003DMT400069613	tomato	Potato	20128	1	Ethylene
Solyc06g072110	Capang06g000804	tomato	CaChiltepin.pep	20128	1	Ethylene
Solyc05g008440	SLYcer05g00488	tomato	TomatoCerasiforme	20216	0	Ethylene
Solyc05g008440	SPI05g00520	tomato	Tomatopimp	20216	0	Ethylene
Solyc05g008440	Capang11g002247	tomato	CaChiltepin.pep	20216	*	Ethylene
Solyc05g008440	PGSC0003DMP400053086\tPGSC0003DMT400078367	tomato	Potato	20216	0	Ethylene
Solyc05g008440	PGSC0003DMP400053087\tPGSC0003DMT400078368	tomato	Potato	20216	0	Ethylene
Solyc05g008440	Capana00g001660	tomato	CaZL1.pep	20216	0	Ethylene
Solyc06g069190	Sopen06g026460	tomato	TomatoPennelli	20295	1	Ethylene
Solyc06g069190	PGSC0003DMP400007266\tPGSC0003DMT400010418	tomato	Potato	20295	1	Ethylene
Solyc06g069190	Capana00g004679	tomato	CaZL1.pep	20295	1	Ethylene
Solyc06g069190	Capang07g000097	tomato	CaChiltepin.pep	20295	1	Ethylene
Solyc02g070680	PGSC0003DMP400014538\tPGSC0003DMT400021366	tomato	Potato	20742	1	Ethylene
Solyc02g070680	Sopen02g019760	tomato	TomatoPennelli	20742	1	Ethylene
Solyc02g070680	Capang02g001351	tomato	CaChiltepin.pep	20742	1	Ethylene
Solyc10g044780	Sopen10g013470	tomato	TomatoPennelli	20832	1	Ethylene
Solyc10g044780	Capang10g000778	tomato	CaChiltepin.pep	20832	1	Ethylene
Solyc10g044780	Capana10g001039	tomato	CaZL1.pep	20832	1	Ethylene
Solyc10g044780	SLYcer10g03168	tomato	TomatoCerasiforme	20832	1	Ethylene
Solyc11g006770	PGSC0003DMP400041426\tPGSC0003DMT400061572	tomato	Potato	21093	1	Ethylene
Solyc11g006770	Capang12g001890	tomato	CaChiltepin.pep	21093	1	Ethylene
Solyc11g006770	Sopen11g002700	tomato	TomatoPennelli	21093	1	Ethylene
Solyc05g051070	SPI05g04346	tomato	Tomatopimp	21186	1	Ethylene
Solyc01g098090	Capang00g004012	tomato	CaChiltepin.pep	21382	1	Ethylene
Solyc02g079880	Sopen02g024640	tomato	TomatoPennelli	21599	1	Ethylene
Solyc02g079880	SLYcer02g04377	tomato	TomatoCerasiforme	21599	1	Ethylene
Solyc02g079880	Capang02g001888	tomato	CaChiltepin.pep	21599	1	Ethylene
Solyc02g079880	PGSC0003DMP400037652\tPGSC0003DMT400055920	tomato	Potato	21599	1	Ethylene
Solyc08g080410	Capana01g000317	tomato	CaZL1.pep	21689	1	Ethylene
Solyc09g020140	Sopen09g013030	tomato	TomatoPennelli	21890	1	Ethylene
Solyc09g020140	Capang09g000477	tomato	CaChiltepin.pep	21890	1	Ethylene
Solyc09g020140	PGSC0003DMP400035255\tPGSC0003DMT400052298	tomato	Potato	21890	1	Ethylene
Solyc09g020140	PGSC0003DMP400035253\tPGSC0003DMT400052296	tomato	Potato	21890	1	Ethylene
Solyc09g020140	PGSC0003DMP400035254\tPGSC0003DMT400052297	tomato	Potato	21890	1	Ethylene
Solyc09g020140	SLYcer09g01829	tomato	TomatoCerasiforme	21890	2	Ethylene
Solyc09g020140	SPI09g01682	tomato	Tomatopimp	21890	1	Ethylene
Solyc09g020140	Capana09g000545	tomato	CaZL1.pep	21890	1	Ethylene
Solyc11g066950	SPI11g03825	tomato	Tomatopimp	22069	1	Ethylene
Solyc11g066950	Capana11g000253	tomato	CaZL1.pep	22069	1	Ethylene
Solyc11g066950	Sopen11g026670	tomato	TomatoPennelli	22069	1	Ethylene
Solyc11g066950	PGSC0003DMP400046118\tPGSC0003DMT400068270	tomato	Potato	22069	1	Ethylene
Solyc11g066950	SLYcer11g03760	tomato	TomatoCerasiforme	22069	1	Ethylene
Solyc01g008200	SLYcer01g00474	tomato	TomatoCerasiforme	22371	1	Ethylene
Solyc01g106560	SLYcer01g08047	tomato	TomatoCerasiforme	22633	1	Ethylene
Solyc01g106560	Capana08g002185	tomato	CaZL1.pep	22633	1	Ethylene
Solyc01g106560	PGSC0003DMP400009072\tPGSC0003DMT400013079	tomato	Potato	22633	1	Ethylene
Solyc01g106560	PGSC0003DMP400009073\tPGSC0003DMT400013080	tomato	Potato	22633	1	Ethylene
Solyc01g106560	Capang01g004730	tomato	CaChiltepin.pep	22633	1	Ethylene
Solyc01g106560	Sopen01g048910	tomato	TomatoPennelli	22633	1	Ethylene
Solyc07g053310	Capana00g003547	tomato	CaZL1.pep	22648	1	Ethylene
Solyc07g053310	Capang00g001722	tomato	CaChiltepin.pep	22648	1	Ethylene
Solyc01g104740	Sopen01g047260	tomato	TomatoPennelli	22717	1	Ethylene
Solyc01g104740	SPI01g08101	tomato	Tomatopimp	22717	1	Ethylene
Solyc05g048810	SLYcer10g02808	tomato	TomatoCerasiforme	23122	1	Ethylene
Solyc05g048810	PGSC0003DMP400037543\tPGSC0003DMT400055760	tomato	Potato	23122	1	Ethylene
Solyc05g048810	PGSC0003DMP400037540\tPGSC0003DMT400055757	tomato	Potato	23122	1	Ethylene
Solyc10g081120	SPI10g04007	tomato	Tomatopimp	23372	2	Ethylene
Solyc10g081120	Sopen10g031620	tomato	TomatoPennelli	23372	2	Ethylene
Solyc06g062860	SPI06g03938	tomato	Tomatopimp	23388	1	Ethylene
Solyc06g062860	Sopen06g022320	tomato	TomatoPennelli	23388	1	Ethylene
Solyc06g062860	SLYcer06g04072	tomato	TomatoCerasiforme	23388	1	Ethylene
Solyc06g062860	Capang06g001149	tomato	CaChiltepin.pep	23388	1	Ethylene
Solyc06g062860	Capana06g001191	tomato	CaZL1.pep	23388	1	Ethylene
Solyc07g044880	SPI07g04639	tomato	Tomatopimp	23707	1	Ethylene
Solyc07g044880	Sopen07g023440	tomato	TomatoPennelli	23707	1	Ethylene
Solyc07g044880	SLYcer07g03927	tomato	TomatoCerasiforme	23707	1	Ethylene
Solyc06g053450	Sopen06g018530	tomato	TomatoPennelli	23749	1	Ethylene
Solyc03g096090	Capang03g002491	tomato	CaChiltepin.pep	23837	0	Ethylene
Solyc03g096090	SPI03g03887	tomato	Tomatopimp	23837	1	Ethylene
Solyc03g096090	Sopen03g026190	tomato	TomatoPennelli	23837	1	Ethylene
Solyc03g096090	PGSC0003DMP400021136\tPGSC0003DMT400031154	tomato	Potato	23837	0	Ethylene
Solyc03g096090	Capana03g002591	tomato	CaZL1.pep	23837	0	Ethylene
Solyc03g096090	SLYcer03g03830	tomato	TomatoCerasiforme	23837	1	Ethylene
Solyc11g068710	SPI11g03898	tomato	Tomatopimp	23839	1	Ethylene
Solyc11g068710	Capang11g000313	tomato	CaChiltepin.pep	23839	0	Ethylene
Solyc11g068710	PGSC0003DMP400045733\tPGSC0003DMT400067738	tomato	Potato	23839	1	Ethylene
Solyc06g074770	SLYcer06g05040	tomato	TomatoCerasiforme	24143	1	Ethylene
Solyc01g080250	SPI01g06453	tomato	Tomatopimp	24243	1	Ethylene
Solyc01g080250	Capana01g003006	tomato	CaZL1.pep	24243	1	Ethylene
Solyc07g043510	Sopen07g023090	tomato	TomatoPennelli	24277	1	Ethylene
Solyc07g043510	SPI07g04592	tomato	Tomatopimp	24277	1	Ethylene
Solyc07g043510	Capang00g002198	tomato	CaChiltepin.pep	24277	1	Ethylene
Solyc06g071810	PGSC0003DMP400047018\tPGSC0003DMT400069633	tomato	Potato	24287	1	Ethylene
Solyc06g071810	SLYcer06g04731	tomato	TomatoCerasiforme	24287	1	Ethylene
Solyc06g071810	Capang06g000863	tomato	CaChiltepin.pep	24287	1	Ethylene
Solyc06g071810	Sopen06g028100	tomato	TomatoPennelli	24287	1	Ethylene
Solyc06g071810	SPI06g04592	tomato	Tomatopimp	24287	1	Ethylene
Solyc12g006180	Capang00g003255	tomato	CaChiltepin.pep	24307	1	Ethylene
Solyc12g006180	PGSC0003DMP400050235\tPGSC0003DMT400074192	tomato	Potato	24307	1	Ethylene
Solyc12g006180	PGSC0003DMP400050236\tPGSC0003DMT400074193	tomato	Potato	24307	1	Ethylene
Solyc12g006180	Capana00g004055	tomato	CaZL1.pep	24307	1	Ethylene
Solyc12g006180	SLYcer12g00230	tomato	TomatoCerasiforme	24307	1	Ethylene
Solyc12g006180	SPI12g00264	tomato	Tomatopimp	24307	1	Ethylene
Solyc12g006180	Sopen12g002130	tomato	TomatoPennelli	24307	1	Ethylene
Solyc06g065480	SPI06g04106	tomato	Tomatopimp	24371	1	Ethylene
Solyc06g065480	PGSC0003DMP400045325\tPGSC0003DMT400067188	tomato	Potato	24371	1	Ethylene
Solyc06g065480	Capang06g001330	tomato	CaChiltepin.pep	24371	1	Ethylene
Solyc06g065480	Sopen06g023970	tomato	TomatoPennelli	24371	1	Ethylene
Solyc06g065480	SLYcer06g04242	tomato	TomatoCerasiforme	24371	1	Ethylene
Solyc06g030470	SLYcer06g02504	tomato	TomatoCerasiforme	24601	1	Ethylene
Solyc06g030470	PGSC0003DMP400004044\tPGSC0003DMT400005798	tomato	Potato	24601	1	Ethylene
Solyc06g030470	Sopen06g009320	tomato	TomatoPennelli	24601	1	Ethylene
Solyc11g008450	PGSC0003DMP400013151\tPGSC0003DMT400019193	tomato	Potato	24654	1	Ethylene
Solyc11g008450	SLYcer11g00458	tomato	TomatoCerasiforme	24654	1	Ethylene
Solyc06g073600	SPI06g04777	tomato	Tomatopimp	25063	1	Ethylene
Solyc06g073600	Capang06g000649	tomato	CaChiltepin.pep	25063	1	Ethylene
Solyc01g006510	Capana01g001582	tomato	CaZL1.pep	25275	1	Ethylene
Solyc01g006510	SLYcer01g00324	tomato	TomatoCerasiforme	25275	2	Ethylene
Solyc01g006510	SPI01g00343	tomato	Tomatopimp	25275	2	Ethylene
Solyc01g006510	Sopen01g002490	tomato	TomatoPennelli	25275	2	Ethylene
Solyc01g006510	PGSC0003DMP400055323\tPGSC0003DMT400081907	tomato	Potato	25275	1	Ethylene
Solyc05g015710	Sopen05g011160	tomato	TomatoPennelli	25355	1	Ethylene
Solyc05g015710	Capang11g000853	tomato	CaChiltepin.pep	25355	1	Ethylene
Solyc12g015910	PGSC0003DMP400051930\tPGSC0003DMT400076648	tomato	Potato	25602	1	Ethylene
Solyc12g015910	Capang12g002481	tomato	CaChiltepin.pep	25602	1	Ethylene
Solyc12g015910	SPI12g01000	tomato	Tomatopimp	25602	1	Ethylene
Solyc02g086870	Capang02g003214	tomato	CaChiltepin.pep	25634	1	Ethylene
Solyc09g075210	Capang03g003548	tomato	CaChiltepin.pep	25700	1	Ethylene
Solyc09g075210	SLYcer09g04369	tomato	TomatoCerasiforme	25700	1	Ethylene
Solyc09g075210	Sopen09g030030	tomato	TomatoPennelli	25700	1	Ethylene
