MTR	CaChiltepin.pep	CaZL1.pep	Potato	TomatoCerasiforme	TomatoPennelli	Tomatopimp
Solyc02g077370	1	1	1	1	1	1
Solyc02g093130	0	0	0	1	0	0
Solyc04g009440	1	1	0	0	1	0
Solyc06g060490	0	0	0	0	1	1
Solyc08g076930	1	1	1	1	1	1
