Gen_a	Species_b	count
Solyc01g104740	Potato	2
Solyc02g079330	TomatoCerasiforme	2
Solyc02g079350	TomatoCerasiforme	2
Solyc02g087880	TomatoPennelli	6
Solyc02g089220	Potato	2
Solyc02g089630	Potato	2
Solyc03g083270	CaChiltepin.pep	2
Solyc03g083270	CaZL1.pep	2
Solyc03g097340	Potato	2
Solyc03g113220	CaChiltepin.pep	2
Solyc03g113220	CaZL1.pep	2
Solyc03g113220	Potato	4
Solyc04g080230	Potato	2
Solyc04g081490	CaChiltepin.pep	10
Solyc04g081490	CaZL1.pep	10
Solyc04g081490	Potato	11
Solyc04g081490	TomatoCerasiforme	8
Solyc04g081490	TomatoPennelli	10
Solyc04g081490	Tomatopimp	9
Solyc06g053710	Potato	2
Solyc07g008320	CaChiltepin.pep	3
Solyc07g008320	CaZL1.pep	4
Solyc07g008320	Potato	4
Solyc07g008320	TomatoPennelli	2
Solyc07g008320	Tomatopimp	2
Solyc07g049390	Potato	2
Solyc08g061480	Potato	2
Solyc08g066790	CaChiltepin.pep	3
Solyc08g066790	Potato	3
Solyc08g066790	TomatoPennelli	2
Solyc08g066790	Tomatopimp	2
Solyc08g080130	Potato	2
Solyc09g008010	Potato	4
Solyc09g075440	Potato	2
Solyc09g089610	CaChiltepin.pep	2
Solyc09g089610	CaZL1.pep	2
Solyc09g089610	Potato	2
Solyc10g055200	CaChiltepin.pep	2
Solyc10g055200	CaZL1.pep	2
Solyc10g055200	Potato	2
Solyc11g007940	Potato	2
Solyc12g006380	CaZL1.pep	2
Solyc12g008490	Potato	2
Solyc12g009260	Potato	2
Solyc12g015910	CaChiltepin.pep	2
Solyc12g015910	Tomatopimp	2
Solyc12g056220	CaChiltepin.pep	2
Solyc12g056220	CaZL1.pep	3
Solyc12g056220	Potato	3
Solyc12g056220	TomatoCerasiforme	3
Solyc12g056220	TomatoPennelli	3
Solyc12g056220	Tomatopimp	3
Solyc12g098980	CaChiltepin.pep	2
