Gen	Count
Solyc12g056220	17
Solyc03g111010	13
Solyc03g097970	11
Solyc04g009230	10
Solyc01g097510	8
Solyc01g108910	8
Solyc02g089610	8
Solyc04g010090	8
Solyc05g018130	8
Solyc06g074940	8
Solyc11g011910	8
Solyc01g028830	7
Solyc01g108270	7
Solyc02g069090	7
Solyc06g008820	7
Solyc08g080410	7
Solyc09g047930	7
Solyc10g007600	7
Solyc11g007940	7
Solyc11g011380	7
Solyc12g098710	7
Solyc01g005250	6
Solyc01g066430	6
Solyc01g098390	6
Solyc01g101240	6
Solyc01g104080	6
Solyc01g104220	6
Solyc01g104510	6
Solyc01g107290	6
Solyc01g107800	6
Solyc01g111980	6
Solyc02g080630	6
Solyc02g088390	6
Solyc03g082620	6
Solyc03g112700	6
Solyc03g122340	6
Solyc04g014730	6
Solyc04g018110	6
Solyc04g076380	6
Solyc04g078920	6
Solyc05g009530	6
Solyc05g010010	6
Solyc05g015390	6
Solyc06g008330	6
Solyc06g009750	6
Solyc06g053480	6
Solyc06g071770	6
Solyc06g084390	6
Solyc06g084440	6
Solyc07g052240	6
Solyc07g054490	6
Solyc08g077530	6
Solyc08g078250	6
Solyc09g092520	6
Solyc10g044780	6
Solyc10g074790	6
Solyc10g081650	6
Solyc11g006770	6
Solyc11g068550	6
Solyc12g005150	6
Solyc01g079830	5
Solyc01g103570	5
Solyc01g105710	5
Solyc01g108280	5
Solyc02g062040	5
Solyc03g097750	5
Solyc03g117250	5
Solyc04g055200	5
Solyc06g074220	5
Solyc06g084130	5
Solyc07g006280	5
Solyc07g052480	5
Solyc09g074320	5
Solyc10g008870	5
Solyc10g083360	5
Solyc11g073200	5
Solyc12g014400	5
Solyc04g024340	4
Solyc04g050920	4
Solyc05g053040	4
Solyc10g049850	4
Solyc11g010430	4
Solyc12g088900	4
Solyc05g043430	3
Solyc06g031690	3
Solyc08g065350	3
Solyc08g075450	3
Solyc09g089580	3
Solyc01g057330	1
Solyc01g099800	1
Solyc04g024510	1
Solyc06g067970	1
