OG	Query_species	Target_species	Query_accession	Target_accession	Query_length	Target_length	Alignment_length	Bit_score	Evalue	Normalized_bit_score
OG201	S. pimp	Tomato	SPI02g02207.1	Solyc02g064810.1.1	137	98	75	164.0	9.679999999999999e-54	1.4352748398629527
OG201	Tomato	S. pimp	Solyc02g064810.1.1	SPI02g02207.1	98	137	75	164.0	9.559999999999999e-54	1.4352748398629527
OG501	Tomato	S. pimp	Solyc08g077620.1.1	SPI08g05874.1	157	150	150	271.0	3.4299999999999995e-95	1.77276008492569
OG501	S. pimp	Tomato	SPI08g05874.1	Solyc08g077620.1.1	150	157	150	273.0	8.27e-96	1.77276008492569
OG9865	S. pimp	S. Pennelli	SPI08g05012.1	Sopen08g020990.1	872	756	868	750.0	5.3599999999999996e-263	0.9220638561234892
OG9865	Tomato	S. Pennelli	Solyc08g067040.4.1	Sopen08g020990.1	765	756	761	835.0	5.97e-298	1.0966931216931215
OG9865	Tomato	S. pimp	Solyc08g067040.4.1	SPI08g05012.1	765	872	872	763.0	2.9699999999999997e-268	0.9394607843137255
OG9865	S. Pennelli	Tomato	Sopen08g020990.1	Solyc08g067040.4.1	756	765	761	833.0	2.2e-297	1.0966931216931215
OG9865	S. Pennelli	S. pimp	Sopen08g020990.1	SPI08g05012.1	756	872	869	743.0	3.1e-260	0.9220638561234892
OG9865	S. pimp	Tomato	SPI08g05012.1	Solyc08g067040.4.1	872	765	871	768.0	2.6599999999999997e-270	0.9394607843137255
OG9902	S. pimp	Tomato	SPI09g01907.1	Solyc09g018520.1.1	87	132	80	170.0	9.63e-57	1.6209508881922674
OG9902	Tomato	S. pimp	Solyc09g018520.1.1	SPI09g01907.1	132	87	80	170.0	2.02e-56	1.6209508881922674
OG9902	S. pimp	Tomato Cherry	SPI09g01907.1	SLYcer09g01700.1	87	89	77	164.0	1.38e-54	1.8638770502389255
OG9902	Tomato	Tomato Cherry	Solyc09g018520.1.1	SLYcer09g01700.1	132	89	77	163.0	1.71e-53	1.536942458290773
OG9902	Tomato Cherry	S. pimp	SLYcer09g01700.1	SPI09g01907.1	89	87	77	164.0	1.3899999999999998e-54	1.8638770502389255
OG9902	Tomato Cherry	Tomato	SLYcer09g01700.1	Solyc09g018520.1.1	89	132	77	164.0	4.0799999999999994e-54	1.536942458290773
OG10621	Tomato	Tomato Cherry	Solyc10g079660.3.1	SLYcer10g05337.1	698	750	702	1293.0	0.0	1.7889340974212034
OG10621	S. pimp	Tomato Cherry	SPI10g03826.1	SLYcer10g05337.1	973	750	754	1326.0	0.0	1.5653977389516958
OG10621	Tomato Cherry	Tomato	SLYcer10g05337.1	Solyc10g079660.3.1	750	698	702	1294.0	0.0	1.7889340974212034
OG10621	Tomato Cherry	S. pimp	SLYcer10g05337.1	SPI10g03826.1	750	973	754	1326.0	0.0	1.5653977389516958
OG10621	Tomato	S. pimp	Solyc10g079660.3.1	SPI10g03826.1	698	973	681	1180.0	0.0	1.4523605839029146
OG10621	S. pimp	Tomato	SPI10g03826.1	Solyc10g079660.3.1	973	698	681	1181.0	0.0	1.4523605839029146
OG10629	Tomato	S. pimp	Solyc05g051540.3.1	SPI05g04419.1	131	150	120	237.0	6.26e-82	1.690763358778626
OG10629	S. pimp	Tomato	SPI05g04419.1	Solyc05g051540.3.1	150	131	120	236.0	1.05e-81	1.690763358778626
OG10629	Tomato	Tomato Cherry	Solyc05g051540.3.1	SLYcer10g02544.1	131	150	120	240.0	2.6899999999999998e-83	1.716030534351145
OG10629	S. pimp	Tomato Cherry	SPI05g04419.1	SLYcer10g02544.1	150	150	150	300.0	1.92e-106	2.0
OG10629	Tomato Cherry	S. pimp	SLYcer10g02544.1	SPI05g04419.1	150	150	150	300.0	1.34e-106	2.0
OG10629	Tomato Cherry	Tomato	SLYcer10g02544.1	Solyc05g051540.3.1	150	131	120	240.0	3.13e-83	1.716030534351145
OG11139	Tomato	S. pimp	Solyc08g068480.1.1	SPI08g05168.1	79	89	78	160.0	1.62e-53	1.9115346323424833
OG11139	Potato	S. pimp	PGSC0003DMP400037584	SPI08g05168.1	86	89	77	145.0	1.9300000000000002e-47	1.6576299973869872
OG11139	S. pimp	Tomato	SPI08g05168.1	Solyc08g068480.1.1	89	79	78	160.0	1.87e-53	1.9115346323424833
