OG	n_genes	n_species	Dom. pepper	Potato	S. Pennelli	S. pimp	Tomato	Tomato Cherry	Wild pepper
OG201	2	2				SPI02g02207.1	Solyc02g064810.1.1		
OG501	2	2				SPI08g05874.1	Solyc08g077620.1.1		
OG9865	3	3			Sopen08g020990.1	SPI08g05012.1	Solyc08g067040.4.1		
OG9902	3	3				SPI09g01907.1	Solyc09g018520.1.1	SLYcer09g01700.1	
OG10621	3	3				SPI10g03826.1	Solyc10g079660.3.1	SLYcer10g05337.1	
OG10629	3	3				SPI05g04419.1	Solyc05g051540.3.1	SLYcer10g02544.1	
OG11139	3	3		PGSC0003DMP400037584		SPI08g05168.1	Solyc08g068480.1.1		
OG11942	3	3	Capana00g002207				Solyc01g060050.3.1		Capang01g001819
OG14472	5	5		PGSC0003DMP400027452	Sopen11g005800.1	SPI11g00767.1	Solyc11g011030.2.1	SLYcer11g00627.1	
OG14516	5	5		PGSC0003DMP400036743	Sopen02g018930.1	SPI02g02680.1	Solyc02g069770.3.1	SLYcer02g03783.1	
OG14951	5	5	Capana00g002809	PGSC0003DMP400014551	Sopen02g019960.1		Solyc02g070880.1.1		Capang05g000415
OG14996	5	5	Capana08g001840	PGSC0003DMP400043215	Sopen01g045960.1		Solyc01g103595.1.1		Capang01g004406
OG15006	5	5	Capana02g002046	PGSC0003DMP400038846	Sopen02g023920.1		Solyc02g079110.3.1		Capang02g001839
OG15735	6	6	Capana01g003165		Sopen01g029220.1	SPI01g05990.1	Solyc01g067340.3.1	SLYcer01g05809.1	Capang08g000097
OG15762	6	6	Capana04g000891		Sopen04g029970.1	SPI04g04701.1	Solyc04g076020.3.1	SLYcer04g05213.1	Capang04g000853
OG15986	6	6	Capana03g002814		Sopen03g013810.1	SPI03g02435.1	Solyc03g059310.3.1	SLYcer03g02312.1	Capang00g002236
OG16040	6	6	Capana03g004551		Sopen09g032280.1	SPI09g04517.1	Solyc09g083360.3.1	SLYcer09g04857.1	Capang03g004356
OG16601	7	6	Capana02g001737	PGSC0003DMP400049453	Sopen02g021210.1,Sopen02g021210.2	SPI02g02920.1	Solyc02g072230.3.1	SLYcer02g04025.1	
OG16695	7	5		PGSC0003DMP400010651,PGSC0003DMP400010653,PGSC0003DMP400010652	Sopen04g002500.1	SPI04g00330.1	Solyc04g007430.2.1	SLYcer04g00349.1	
OG16945	7	5		PGSC0003DMP400026597,PGSC0003DMP400026596,PGSC0003DMP400026595	Sopen03g030860.1	SPI03g04403.1	Solyc03g111740.3.1	SLYcer03g04348.1	
OG17282	7	7	Capana10g002460	PGSC0003DMP400014704	Sopen10g029040.1	SPI10g03684.1	Solyc10g078380.2.1	SLYcer10g05200.1	Capang10g002224
OG17359	7	7	Capana06g001041	PGSC0003DMP400050165	Sopen06g026220.1	SPI06g04387.1	Solyc06g068930.2.1	SLYcer06g04530.1	Capang06g001001
OG17374	7	7	Capana09g002053	PGSC0003DMP400041348	Sopen09g001830.1	SPI09g00183.1	Solyc09g005970.1.1	SLYcer09g00279.1	Capang09g001588
OG17378	7	7	Capana03g000735	PGSC0003DMP400009954	Sopen03g037980.1	SPI03g05164.1	Solyc03g119090.3.1	SLYcer03g05104.1	Capang00g000413
OG17534	7	7	Capana00g004742	PGSC0003DMP400055864	Sopen06g026900.1	SPI06g04468.1	Solyc06g069600.3.1	SLYcer06g04609.1	Capang06g000978
OG17616	7	7	Capana03g000103	PGSC0003DMP400039701	Sopen03g041110.1	SPI03g05491.1	Solyc03g122340.3.1	SLYcer03g05459.1	Capang03g000098
OG17943	7	7	Capana12g001017	PGSC0003DMP400001405	Sopen01g051750.1	SPI01g08569.1	Solyc01g109560.3.1	SLYcer01g08347.1	Capang01g005057
OG17959	7	7	Capana11g001368	PGSC0003DMP400007385	Sopen05g001820.1	SPI05g00184.1	Solyc05g005810.4.1	SLYcer05g00168.1	Capang11g001342
OG18024	7	7	Capana08g001099	PGSC0003DMP400031944	Sopen00g013520.1	SPI01g07360.1	Solyc01g096370.4.1	SLYcer01g07913.1	Capang01g003684
OG18025	7	7	Capana09g001578	PGSC0003DMP400035343	Sopen09g007020.1	SPI09g01047.1	Solyc09g013160.3.1	SLYcer09g01159.1	Capang09g001165
OG18216	7	7	Capana01g001076	PGSC0003DMP400030631	Sopen08g025340.1	SPI08g05784.1	Solyc08g076820.3.1	SLYcer08g05897.1	Capang01g000927
