Gen_a	Gen_b	Species_a	Species_b	og	normalized_bit_score	Hormone
Solyc04g024510	PGSC0003DMP400007546\tPGSC0003DMT400010840	tomato	Potato	715	1	Jasmonic Acid
Solyc05g043430	SPI05g03897	tomato	Tomatopimp	13270	1	Jasmonic Acid
Solyc05g043430	SLYcer05g03267	tomato	TomatoCerasiforme	13270	1	Jasmonic Acid
Solyc05g043430	Sopen05g026690	tomato	TomatoPennelli	13270	1	Jasmonic Acid
Solyc01g079830	Capang01g002645	tomato	CaChiltepin.pep	16264	1	Jasmonic Acid
Solyc01g079830	SPI01g06404	tomato	Tomatopimp	16264	1	Jasmonic Acid
Solyc01g079830	PGSC0003DMP400015816\tPGSC0003DMT400023222	tomato	Potato	16264	1	Jasmonic Acid
Solyc01g079830	SLYcer01g06109	tomato	TomatoCerasiforme	16264	1	Jasmonic Acid
Solyc01g103570	Capang01g004398	tomato	CaChiltepin.pep	16279	1	Jasmonic Acid
Solyc01g103570	Capana08g001831	tomato	CaZL1.pep	16279	1	Jasmonic Acid
Solyc01g103570	PGSC0003DMP400043214\tPGSC0003DMT400064124	tomato	Potato	16279	1	Jasmonic Acid
Solyc01g103570	SLYcer01g07298	tomato	TomatoCerasiforme	16279	1	Jasmonic Acid
Solyc07g052480	SPI07g05475	tomato	Tomatopimp	16838	1	Jasmonic Acid
Solyc07g052480	PGSC0003DMP400044193\tPGSC0003DMT400065512	tomato	Potato	16838	1	Jasmonic Acid
Solyc07g052480	Capang00g003779	tomato	CaChiltepin.pep	16838	1	Jasmonic Acid
Solyc07g052480	Sopen07g026110	tomato	TomatoPennelli	16838	1	Jasmonic Acid
Solyc06g084440	SLYcer06g05509	tomato	TomatoCerasiforme	16856	1	Jasmonic Acid
Solyc01g005250	PGSC0003DMP400039525\tPGSC0003DMT400058680	tomato	Potato	16955	1	Jasmonic Acid
Solyc01g005250	Capang01g002840	tomato	CaChiltepin.pep	16955	1	Jasmonic Acid
Solyc01g005250	SPI01g00167	tomato	Tomatopimp	16955	1	Jasmonic Acid
Solyc01g005250	Capana08g000095	tomato	CaZL1.pep	16955	1	Jasmonic Acid
Solyc01g005250	SLYcer01g00139	tomato	TomatoCerasiforme	16955	1	Jasmonic Acid
Solyc01g005250	Sopen01g001280	tomato	TomatoPennelli	16955	1	Jasmonic Acid
Solyc12g005150	SLYcer12g00099	tomato	TomatoCerasiforme	17058	1	Jasmonic Acid
Solyc12g005150	Capana04g000759	tomato	CaZL1.pep	17058	1	Jasmonic Acid
Solyc12g005150	SPI12g00145	tomato	Tomatopimp	17058	2	Jasmonic Acid
Solyc01g104510	Capana08g001956	tomato	CaZL1.pep	17473	1	Jasmonic Acid
Solyc01g104510	SPI01g08074	tomato	Tomatopimp	17473	1	Jasmonic Acid
Solyc01g104510	PGSC0003DMP400041080\tPGSC0003DMT400061016	tomato	Potato	17473	1	Jasmonic Acid
Solyc01g104510	Capang01g004518	tomato	CaChiltepin.pep	17473	1	Jasmonic Acid
Solyc05g010010	Sopen05g005820	tomato	TomatoPennelli	17512	1	Jasmonic Acid
Solyc05g010010	SPI05g00694	tomato	Tomatopimp	17512	1	Jasmonic Acid
Solyc01g111980	Sopen01g054030	tomato	TomatoPennelli	17870	1	Jasmonic Acid
Solyc01g111980	SPI01g08805	tomato	Tomatopimp	17870	1	Jasmonic Acid
Solyc01g111980	PGSC0003DMP400032501\tPGSC0003DMT400048002	tomato	Potato	17870	1	Jasmonic Acid
Solyc03g122340	Sopen03g041110	tomato	TomatoPennelli	17941	1	Jasmonic Acid
Solyc03g122340	Capang03g000098	tomato	CaChiltepin.pep	17941	1	Jasmonic Acid
Solyc03g122340	PGSC0003DMP400039701\tPGSC0003DMT400058933	tomato	Potato	17941	1	Jasmonic Acid
Solyc01g066430	Capang01g002044	tomato	CaChiltepin.pep	17966	1	Jasmonic Acid
Solyc01g066430	SLYcer01g05683	tomato	TomatoCerasiforme	17966	1	Jasmonic Acid
Solyc01g066430	SPI01g05856	tomato	Tomatopimp	17966	1	Jasmonic Acid
Solyc01g066430	Capana01g002369	tomato	CaZL1.pep	17966	1	Jasmonic Acid
Solyc06g071770	SPI06g04587	tomato	Tomatopimp	18200	1	Jasmonic Acid
Solyc06g071770	PGSC0003DMP400047024\tPGSC0003DMT400069639	tomato	Potato	18200	1	Jasmonic Acid
Solyc06g071770	Capang06g000867	tomato	CaChiltepin.pep	18200	1	Jasmonic Acid
Solyc06g071770	Capana06g000925	tomato	CaZL1.pep	18200	1	Jasmonic Acid
Solyc01g104080	SLYcer01g07240	tomato	TomatoCerasiforme	18229	2	Jasmonic Acid
Solyc01g104080	SPI01g08022	tomato	Tomatopimp	18229	2	Jasmonic Acid
Solyc01g104080	Capana08g001913	tomato	CaZL1.pep	18229	1	Jasmonic Acid
Solyc01g107800	Capana08g002326	tomato	CaZL1.pep	18293	1	Jasmonic Acid
Solyc01g107800	Capang01g004876	tomato	CaChiltepin.pep	18293	1	Jasmonic Acid
Solyc01g107800	SLYcer01g08171	tomato	TomatoCerasiforme	18293	1	Jasmonic Acid
Solyc01g107800	SPI01g08400	tomato	Tomatopimp	18293	1	Jasmonic Acid
Solyc01g107800	Sopen01g049970	tomato	TomatoPennelli	18293	1	Jasmonic Acid
Solyc01g107800	PGSC0003DMP400044884\tPGSC0003DMT400066571	tomato	Potato	18293	1	Jasmonic Acid
Solyc03g082620	PGSC0003DMP400032302\tPGSC0003DMT400047690	tomato	Potato	18524	1	Jasmonic Acid
Solyc03g082620	Sopen03g022380	tomato	TomatoPennelli	18524	1	Jasmonic Acid
Solyc03g082620	SPI03g03350	tomato	Tomatopimp	18524	1	Jasmonic Acid
Solyc03g082620	SLYcer03g03261	tomato	TomatoCerasiforme	18524	1	Jasmonic Acid
Solyc03g082620	Capana03g001942	tomato	CaZL1.pep	18524	1	Jasmonic Acid
Solyc03g082620	Capang03g001845	tomato	CaChiltepin.pep	18524	1	Jasmonic Acid
Solyc02g080630	SPI02g03348	tomato	Tomatopimp	18558	1	Jasmonic Acid
Solyc02g080630	Capang02g001979	tomato	CaChiltepin.pep	18558	1	Jasmonic Acid
Solyc02g080630	Sopen02g025340	tomato	TomatoPennelli	18558	1	Jasmonic Acid
Solyc02g080630	SLYcer02g04450	tomato	TomatoCerasiforme	18558	1	Jasmonic Acid
Solyc02g080630	PGSC0003DMP400028772\tPGSC0003DMT400042417	tomato	Potato	18558	1	Jasmonic Acid
Solyc01g107290	PGSC0003DMP400044603\tPGSC0003DMT400066172	tomato	Potato	18986	1	Jasmonic Acid
Solyc01g107290	Capana08g002258	tomato	CaZL1.pep	18986	1	Jasmonic Acid
Solyc01g107290	Sopen01g049540	tomato	TomatoPennelli	18986	1	Jasmonic Acid
Solyc01g107290	SPI01g08348	tomato	Tomatopimp	18986	1	Jasmonic Acid
Solyc01g101240	Sopen01g044690	tomato	TomatoPennelli	19012	1	Jasmonic Acid
Solyc01g101240	Capang01g004258	tomato	CaChiltepin.pep	19012	1	Jasmonic Acid
Solyc01g101240	PGSC0003DMP400031856\tPGSC0003DMT400047088	tomato	Potato	19012	1	Jasmonic Acid
Solyc01g101240	SLYcer01g07429	tomato	TomatoCerasiforme	19012	1	Jasmonic Acid
Solyc04g076380	SLYcer04g05249	tomato	TomatoCerasiforme	20665	1	Jasmonic Acid
Solyc04g076380	Sopen04g030140	tomato	TomatoPennelli	20665	1	Jasmonic Acid
Solyc04g076380	SPI04g04739	tomato	Tomatopimp	20665	1	Jasmonic Acid
Solyc10g044780	Sopen10g013470	tomato	TomatoPennelli	20832	1	Jasmonic Acid
Solyc10g044780	Capang10g000778	tomato	CaChiltepin.pep	20832	1	Jasmonic Acid
Solyc10g044780	Capana10g001039	tomato	CaZL1.pep	20832	1	Jasmonic Acid
Solyc10g044780	SLYcer10g03168	tomato	TomatoCerasiforme	20832	1	Jasmonic Acid
