OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG201	(Solyc02g064810.1.1[&&NHX:species=Tomato],SPI02g02207.1[&&NHX:species=S. pimp])S;	0	0	0	
OG493	(SPI06g03652.1[&&NHX:species=S. pimp],Solyc06g054430.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG501	(SPI08g05874.1[&&NHX:species=S. pimp],Solyc08g077620.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG9865	(SPI08g05012.1[&&NHX:species=S. pimp],Solyc08g067040.4.1[&&NHX:species=Tomato],Sopen08g020990.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG9873	((Solyc02g005400.3.1[&&NHX:species=Tomato],SLYcer02g00385.1[&&NHX:species=Tomato Cherry])S,SLYcer02g00387.1[&&NHX:species=Tomato Cherry])D;	0	0	0	
OG9902	(SPI09g01907.1[&&NHX:species=S. pimp],Solyc09g018520.1.1[&&NHX:species=Tomato],SLYcer09g01700.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG10629	(Solyc05g051540.3.1[&&NHX:species=Tomato],SPI05g04419.1[&&NHX:species=S. pimp],SLYcer10g02544.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG11139	(Solyc08g068480.1.1[&&NHX:species=Tomato],PGSC0003DMP400037584[&&NHX:species=Potato],SPI08g05168.1[&&NHX:species=S. pimp])S;	0	0	0	
OG11942	(Solyc01g060050.3.1[&&NHX:species=Tomato],Capana00g002207[&&NHX:species=Dom. pepper],Capang01g001819[&&NHX:species=Wild pepper])S;	0	0	0	
OG13004	(SPI01g07400.1[&&NHX:species=S. pimp],Solyc01g096790.4.1[&&NHX:species=Tomato],Sopen01g040490.1[&&NHX:species=S. Pennelli],SLYcer01g07872.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG13151	((SPI10g02414.1[&&NHX:species=S. pimp],Solyc10g049815.1.1[&&NHX:species=Tomato])S,(SLYcer10g04053.1[&&NHX:species=Tomato Cherry],SPI10g02410.1[&&NHX:species=S. pimp])S)D;	0	0	0	
