b_base	MTR	Orthologs
Solyc02g077370	Solyc02g077370	Capang02g001603 (CaChiltepin.pep), Capana02g001851 (CaZL1.pep), PGSC0003DMP400018962\tPGSC0003DMT400027849 (Potato), SLYcer02g04131 (TomatoCerasiforme), Sopen02g022270 (TomatoPennelli), SPI02g03026 (Tomatopimp)
Solyc02g093130	Solyc02g093130	SLYcer02g05709 (TomatoCerasiforme)
Solyc04g009440	Solyc04g009440	Capang05g000480 (CaChiltepin.pep), Capana05g000569 (CaZL1.pep), Sopen04g004570 (TomatoPennelli)
Solyc06g060490	Solyc06g060490	Sopen06g020610 (TomatoPennelli), SPI06g03790 (Tomatopimp)
Solyc08g076930	Solyc08g076930	Capang01g000946 (CaChiltepin.pep), Capana01g001098 (CaZL1.pep), PGSC0003DMP400030626\tPGSC0003DMT400045204 (Potato), SLYcer08g05909 (TomatoCerasiforme), Sopen08g025500 (TomatoPennelli), SPI08g05799 (Tomatopimp)
