OG	n_genes	n_species	Dom. pepper	Potato	S. Pennelli	S. pimp	Tomato	Tomato Cherry	Wild pepper
OG160	2	2				SPI10g03096.1	Solyc10g054310.1.1		
OG657	2	2				SPI11g03206.1	Solyc11g039713.1.1		
OG9820	3	2		PGSC0003DMP400018471			Solyc02g031900.3.1,Solyc02g031850.1.1		
OG10583	3	3				SPI02g02127.1	Solyc02g063210.1.1	SLYcer02g03245.1	
OG12937	4	3				SPI04g04496.1	Solyc04g074060.3.1,Solyc04g074010.3.1	SLYcer04g05023.1	
OG13365	4	4		PGSC0003DMP400014775		SPI11g03104.1	Solyc11g040030.3.1	SLYcer11g03033.1	
OG14517	5	5		PGSC0003DMP400027735	Sopen09g025030.1	SPI09g03372.1	Solyc09g061940.3.1	SLYcer09g03474.1	
OG15754	6	6		PGSC0003DMP400049573	Sopen02g021490.1	SPI02g02947.1	Solyc02g072520.3.1	SLYcer02g04051.1	Capang02g001527
OG15801	6	6	Capana10g001494		Sopen10g035370.1	SPI10g04438.1	Solyc10g086000.3.1	SLYcer10g05902.1	Capang10g001268
OG15822	6	6		PGSC0003DMP400042695	Sopen03g034690.1	SPI03g04817.1	Solyc03g115710.1.1	SLYcer03g04761.1	Capang03g000749
OG16126	6	6	Capana10g000912	PGSC0003DMP400048160	Sopen10g027200.1	SPI10g03466.1	Solyc10g074710.2.1		Capang10g000725
OG16128	6	6	Capana07g000752	PGSC0003DMP400009671		SPI07g01126.1	Solyc07g018140.3.1	SLYcer07g01106.1	Capang07g000807
OG16160	6	6	Capana05g002374	PGSC0003DMP400040508	Sopen05g033150.1	SPI05g04802.1	Solyc05g054680.1.1		Capang05g001921
OG16162	6	6	Capana04g000175	PGSC0003DMP400017556	Sopen04g035200.1		Solyc04g081590.4.1	SLYcer04g05764.1	Capang04g000159
OG16704	7	7	Capana07g000270	PGSC0003DMP400020982	Sopen07g001120.1	SPI07g00061.1	Solyc07g005010.4.1	SLYcer07g00051.1	Capang07g000269
OG16722	7	7	Capana07g000205	PGSC0003DMP400061784	Sopen07g001640.1	SPI07g00200.1	Solyc07g005540.1.1	SLYcer07g00132.1	Capang07g000204
OG16733	7	7	Capana03g002485	PGSC0003DMP400054039	Sopen03g003060.1	SPI03g00520.1	Solyc03g007070.3.1	SLYcer03g00302.1	Capang03g002401
OG16760	7	7	Capana01g000450	PGSC0003DMP400007020	Sopen08g028100.1	SPI08g06099.1	Solyc08g079740.3.1	SLYcer08g06202.1	Capang01g000411
OG16829	7	7	Capana07g000363	PGSC0003DMP400048571	Sopen07g001070.1	SPI07g00519.1	Solyc07g007780.3.1	SLYcer07g00464.1	Capang07g000401
OG16868	7	7	Capana10g000475	PGSC0003DMP400039560	Sopen10g004750.1	SPI10g00511.1	Solyc10g008960.1.1	SLYcer10g00651.1	Capang10g000369
OG16930	7	7	Capana00g004930	PGSC0003DMP400008719	Sopen06g022600.1	SPI06g03968.1	Solyc06g063150.4.1	SLYcer06g04102.1	Capang00g000541
OG16944	7	7	Capana00g001933	PGSC0003DMP400040827	Sopen04g006170.1	SPI04g00785.1	Solyc04g012050.3.1	SLYcer04g00972.1	Capang05g000265
OG17061	7	7	Capana09g000303	PGSC0003DMP400000755	Sopen12g003090.1	SPI12g00374.1	Solyc12g007110.2.1	SLYcer12g00346.1	Capang09g000288
OG17103	7	6		PGSC0003DMP400049835,PGSC0003DMP400049833	Sopen01g042270.1	SPI01g07589.1	Solyc01g098740.4.1	SLYcer01g07678.1	Capang00g000710
OG17149	7	7	Capana05g000764	PGSC0003DMP400051275	Sopen04g003580.1	SPI04g00444.1	Solyc04g008430.1.1	SLYcer04g00471.1	Capang05g000651
OG17229	7	6	Capana10g000729		Sopen10g001160.1	SPI10g00105.1	Solyc10g005140.1.1	SLYcer10g00229.1	Capang11g000646,Capang10g000560
OG17303	7	7	Capana09g001001	PGSC0003DMP400046538	Sopen09g009470.1	SPI09g01301.1	Solyc09g015520.3.1	SLYcer09g01438.1	Capang00g003519
OG17305	7	7	Capana05g000115	PGSC0003DMP400047434	Sopen04g007680.1	SPI04g01066.1	Solyc04g015600.3.1	SLYcer04g01334.1	Capang05g000118
OG17342	7	7	Capana02g001579	PGSC0003DMP400005544	Sopen00g008280.1	SPI02g02817.1	Solyc02g071220.3.1	SLYcer02g03921.1	Capang02g001400
OG17464	7	7	Capana02g003482	PGSC0003DMP400000975	Sopen02g031730.1	SPI02g04044.1	Solyc02g086960.2.1	SLYcer02g05106.1	Capang02g003206
OG17511	7	7	Capana03g002442	PGSC0003DMP400013373	Sopen03g002920.1	SPI03g00506.1	Solyc03g006920.2.1	SLYcer03g00288.1	Capang03g002363
