en_a	Gen_b	Ortholog_Status	Species_with_Ortholog	Hormone	Duplicated_Ortholog
Solyc01g059980	NA	No Ortholog	None	ABA	FALSE
Solyc01g059990	NA	No Ortholog	None	ABA	FALSE
Solyc01g060020	PGSC0003DMP400034721\tPGSC0003DMT400051530	Has Ortholog	Potato	ABA	FALSE
Solyc01g096520	Capang01g003701	Has Ortholog	Wild pepper	ABA	FALSE
Solyc01g096520	Capana08g001129	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc01g096520	PGSC0003DMP400009568\tPGSC0003DMT400013826	Has Ortholog	Potato	ABA	FALSE
Solyc01g096520	SLYcer01g07895	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc01g096520	Sopen01g040250	Has Ortholog	S. pennellii	ABA	FALSE
Solyc01g099140	Capang10g001474	Has Ortholog	Wild pepper	ABA	FALSE
Solyc01g099140	Capana00g002115	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc01g099140	PGSC0003DMP400042853\tPGSC0003DMT400063649;PGSC0003DMP400042854\tPGSC0003DMT400063650	Has Ortholog	Potato	ABA	TRUE
Solyc01g099140	PGSC0003DMP400042853\tPGSC0003DMT400063649;PGSC0003DMP400042854\tPGSC0003DMT400063650	Has Ortholog	Potato	ABA	TRUE
Solyc01g099140	SLYcer01g07635	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc01g099140	Sopen01g042700	Has Ortholog	S. pennellii	ABA	FALSE
Solyc01g099140	SPI01g07631	Has Ortholog	S. pimp.	ABA	FALSE
Solyc01g100040	Capang01g004114	Has Ortholog	Wild pepper	ABA	FALSE
Solyc01g100040	Capana08g001566	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc01g100040	PGSC0003DMP400042936\tPGSC0003DMT400063747	Has Ortholog	Potato	ABA	FALSE
Solyc01g100040	SLYcer01g07551	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc01g100040	Sopen01g043560	Has Ortholog	S. pennellii	ABA	FALSE
Solyc01g100040	SPI01g07720	Has Ortholog	S. pimp.	ABA	FALSE
Solyc01g110540	PGSC0003DMP400002981\tPGSC0003DMT400004171	Has Ortholog	Potato	ABA	FALSE
Solyc01g110540	SLYcer01g08441	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc01g110540	SPI01g08666	Has Ortholog	S. pimp.	ABA	FALSE
Solyc01g111150	Capang01g005269	Has Ortholog	Wild pepper	ABA	FALSE
Solyc01g111150	Capana00g001864	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc01g111150	PGSC0003DMP400002955\tPGSC0003DMT400004129	Has Ortholog	Potato	ABA	FALSE
Solyc01g111150	SLYcer01g08493	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc01g111150	Sopen01g053210	Has Ortholog	S. pennellii	ABA	FALSE
Solyc01g111150	SPI01g08721	Has Ortholog	S. pimp.	ABA	FALSE
Solyc02g082700	Capang02g002183	Has Ortholog	Wild pepper	ABA	FALSE
Solyc02g082700	Capana02g002442	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc02g082700	PGSC0003DMP400002842\tPGSC0003DMT400003983	Has Ortholog	Potato	ABA	FALSE
Solyc02g082700	SLYcer02g04656	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc02g082700	Sopen02g027450	Has Ortholog	S. pennellii	ABA	FALSE
Solyc02g082700	SPI02g03575	Has Ortholog	S. pimp.	ABA	FALSE
Solyc02g084820	Capang02g002465	Has Ortholog	Wild pepper	ABA	FALSE
Solyc02g084820	Capana02g002742	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc02g084820	PGSC0003DMP400006455\tPGSC0003DMT400009302;PGSC0003DMP400006456\tPGSC0003DMT400009303	Has Ortholog	Potato	ABA	TRUE
Solyc02g084820	PGSC0003DMP400006455\tPGSC0003DMT400009302;PGSC0003DMP400006456\tPGSC0003DMT400009303	Has Ortholog	Potato	ABA	TRUE
Solyc02g084820	SLYcer02g04881	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc02g084820	Sopen02g029490	Has Ortholog	S. pennellii	ABA	FALSE
Solyc02g084820	SPI02g03804	Has Ortholog	S. pimp.	ABA	FALSE
Solyc02g087760	Capang02g003124	Has Ortholog	Wild pepper	ABA	FALSE
Solyc02g087760	Capana02g003392	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc02g087760	PGSC0003DMP400002357\tPGSC0003DMT400003322;PGSC0003DMP400002358\tPGSC0003DMT400003323	Has Ortholog	Potato	ABA	TRUE
Solyc02g087760	PGSC0003DMP400002357\tPGSC0003DMT400003322;PGSC0003DMP400002358\tPGSC0003DMT400003323	Has Ortholog	Potato	ABA	TRUE
Solyc02g087760	SLYcer02g05186	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc02g087760	Sopen02g032490	Has Ortholog	S. pennellii	ABA	FALSE
Solyc02g087760	SPI02g04117	Has Ortholog	S. pimp.	ABA	FALSE
Solyc03g013430	Sopen12g018500	Has Ortholog	S. pennellii	ABA	FALSE
Solyc03g097270	Capang03g001644	Has Ortholog	Wild pepper	ABA	FALSE
Solyc03g097270	Capana03g001703	Has Ortholog	Dom. pepper	ABA	FALSE
Solyc03g097270	PGSC0003DMP400045978\tPGSC0003DMT400068064	Has Ortholog	Potato	ABA	FALSE
Solyc03g097270	SLYcer03g03982	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc03g097270	Sopen03g028040	Has Ortholog	S. pennellii	ABA	FALSE
Solyc03g097270	SPI03g04041	Has Ortholog	S. pimp.	ABA	FALSE
Solyc04g014680	Capang05g000156	Has Ortholog	Wild pepper	ABA	FALSE
Solyc04g014680	Capana00g001319;Capana05g000159	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc04g014680	Capana00g001319;Capana05g000159	Has Ortholog	Dom. pepper	ABA	TRUE
Solyc04g014680	PGSC0003DMP400040781\tPGSC0003DMT400060566	Has Ortholog	Potato	ABA	FALSE
Solyc04g014680	SLYcer04g01188	Has Ortholog	Tomato cherry	ABA	FALSE
Solyc04g014680	Sopen04g006780	Has Ortholog	S. pennellii	ABA	FALSE
Solyc04g014680	SPI04g00913	Has Ortholog	S. pimp.	ABA	FALSE
