OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG201	(Solyc02g064810.1.1[&&NHX:species=Tomato],SPI02g02207.1[&&NHX:species=S. pimp])S;	0	0	0	
OG501	(SPI08g05874.1[&&NHX:species=S. pimp],Solyc08g077620.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG9865	(SPI08g05012.1[&&NHX:species=S. pimp],Solyc08g067040.4.1[&&NHX:species=Tomato],Sopen08g020990.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG9902	(SPI09g01907.1[&&NHX:species=S. pimp],Solyc09g018520.1.1[&&NHX:species=Tomato],SLYcer09g01700.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG10621	(Solyc10g079660.3.1[&&NHX:species=Tomato],SPI10g03826.1[&&NHX:species=S. pimp],SLYcer10g05337.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG10629	(Solyc05g051540.3.1[&&NHX:species=Tomato],SPI05g04419.1[&&NHX:species=S. pimp],SLYcer10g02544.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG11139	(Solyc08g068480.1.1[&&NHX:species=Tomato],PGSC0003DMP400037584[&&NHX:species=Potato],SPI08g05168.1[&&NHX:species=S. pimp])S;	0	0	0	
OG11942	(Solyc01g060050.3.1[&&NHX:species=Tomato],Capana00g002207[&&NHX:species=Dom. pepper],Capang01g001819[&&NHX:species=Wild pepper])S;	0	0	0	
OG14472	(Solyc11g011030.2.1[&&NHX:species=Tomato],PGSC0003DMP400027452[&&NHX:species=Potato],SLYcer11g00627.1[&&NHX:species=Tomato Cherry],SPI11g00767.1[&&NHX:species=S. pimp],Sopen11g005800.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG14516	(Sopen02g018930.1[&&NHX:species=S. Pennelli],SLYcer02g03783.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400036743[&&NHX:species=Potato],Solyc02g069770.3.1[&&NHX:species=Tomato],SPI02g02680.1[&&NHX:species=S. pimp])S;	0	0	0	
OG14951	(Sopen02g019960.1[&&NHX:species=S. Pennelli],PGSC0003DMP400014551[&&NHX:species=Potato],Capang05g000415[&&NHX:species=Wild pepper],Capana00g002809[&&NHX:species=Dom. pepper],Solyc02g070880.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG14996	(Sopen01g045960.1[&&NHX:species=S. Pennelli],Capang01g004406[&&NHX:species=Wild pepper],Capana08g001840[&&NHX:species=Dom. pepper],PGSC0003DMP400043215[&&NHX:species=Potato],Solyc01g103595.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG15006	(Solyc02g079110.3.1[&&NHX:species=Tomato],Capana02g002046[&&NHX:species=Dom. pepper],Sopen02g023920.1[&&NHX:species=S. Pennelli],Capang02g001839[&&NHX:species=Wild pepper],PGSC0003DMP400038846[&&NHX:species=Potato])S;	0	0	0	
