OG	n_genes	n_species	Dom. pepper	Potato	S. Pennelli	S. pimp	Tomato	Tomato Cherry	Wild pepper
OG0	2	2			Sopen01g005060.1		Solyc01g009510.2.1		
OG420	2	2					Solyc05g025660.1.1	SLYcer05g02441.1	
OG10124	3	3				SPI04g04495.1	Solyc04g074050.4.1	SLYcer04g05022.1	
OG10565	3	3				SPI05g01982.1	Solyc08g044610.3.1	SLYcer05g01519.1	
OG10629	3	3				SPI05g04419.1	Solyc05g051540.3.1	SLYcer10g02544.1	
OG11092	3	3		PGSC0003DMP400006625	Sopen04g034700.1		Solyc04g081080.1.1		
OG11163	3	3		PGSC0003DMP400040148		SPI12g04496.1	Solyc12g056730.1.1		
OG11177	3	3		PGSC0003DMP400029483		SPI12g04938.1	Solyc12g098100.3.1		
OG12933	4	3				SPI06g00155.1	Solyc06g006020.3.1,Solyc06g006028.1.1	SLYcer08g03933.1	
OG12947	4	2					Solyc09g061570.1.1,Solyc09g061550.2.1	SLYcer09g03392.1,SLYcer09g03381.1	
OG12988	4	3			Sopen05g015040.1,Sopen05g015040.2	SPI05g02294.1	Solyc05g018300.3.1		
OG13126	4	4			Sopen03g029640.1	SPI03g04279.1	Solyc03g019980.2.1	SLYcer03g04220.1	
OG13170	4	3				SPI10g03729.1	Solyc10g078800.3.1	SLYcer10g05246.1,SLYcer10g05247.1	
OG13288	4	4			Sopen11g019340.1	SPI11g02848.1	Solyc11g042990.2.1	SLYcer11g02788.1	
OG13306	4	4		PGSC0003DMP400012600	Sopen07g030190.1	SPI07g05950.1	Solyc07g061910.1.1		
OG13388	4	4		PGSC0003DMP400054176	Sopen07g029780.1		Solyc07g056410.3.1	SLYcer07g05158.1	
OG13412	4	4		PGSC0003DMP400046364		SPI06g02713.1	Solyc06g036190.1.1	SLYcer06g02913.1	
OG13779	4	4	Capana01g002293		Sopen01g020840.1		Solyc01g056690.4.1		Capang01g001988
OG14421	5	5		PGSC0003DMP400020641	Sopen05g030820.1	SPI05g04528.1	Solyc05g052270.3.1	SLYcer10g02440.1	
OG14524	5	5		PGSC0003DMP400042968	Sopen04g026880.1	SPI04g04063.1	Solyc04g064940.3.1	SLYcer04g04433.1	
OG14727	5	4		PGSC0003DMP400011521,PGSC0003DMP400020383	Sopen04g004220.1		Solyc04g009040.4.1	SLYcer04g00530.1	
OG14899	5	5	Capana12g002053	PGSC0003DMP400027752	Sopen12g016660.1	SPI12g03215.1	Solyc12g036330.1.1		
OG14916	5	5	Capana04g001267			SPI04g04322.1	Solyc04g071680.2.1	SLYcer04g04833.1	Capang04g001211
OG15069	5	4	Capana07g000578	PGSC0003DMP400048344,PGSC0003DMP400048345			Solyc07g008790.3.1		Capang07g000602
