Gen_a	Gen_b	Species_a	Species_b	og	normalized_bit_score	Hormone
Solyc10g084330	SPI10g04274	tomato	Tomatopimp	358	1	Auxin
Solyc06g050930	Sopen06g016660	tomato	TomatoPennelli	15964	1	Auxin
Solyc06g050930	Capana06g002262	tomato	CaZL1.pep	15964	1	Auxin
Solyc06g050930	Capang06g002119	tomato	CaChiltepin.pep	15964	1	Auxin
Solyc06g050930	SPI06g03340	tomato	Tomatopimp	15964	2	Auxin
Solyc06g050930	SLYcer06g03418	tomato	TomatoCerasiforme	15964	2	Auxin
Solyc01g095010	Sopen01g038790	tomato	TomatoPennelli	16742	1	Auxin
Solyc01g095010	SLYcer01g06978	tomato	TomatoCerasiforme	16742	2	Auxin
Solyc01g095010	PGSC0003DMP400000410\tPGSC0003DMT400000543	tomato	Potato	16742	1	Auxin
Solyc01g095010	SPI01g07227	tomato	Tomatopimp	16742	2	Auxin
Solyc01g095010	Capana08g000971	tomato	CaZL1.pep	16742	1	Auxin
Solyc10g005310	PGSC0003DMP400019931\tPGSC0003DMT400029293	tomato	Potato	16757	1	Auxin
Solyc10g005310	Capana10g000591	tomato	CaZL1.pep	16757	1	Auxin
Solyc10g005310	Sopen10g001300	tomato	TomatoPennelli	16757	1	Auxin
Solyc08g006700	Sopen08g002640	tomato	TomatoPennelli	17030	1	Auxin
Solyc08g006700	SLYcer08g00328	tomato	TomatoCerasiforme	17030	1	Auxin
Solyc08g006700	Capana00g003887	tomato	CaZL1.pep	17030	1	Auxin
Solyc01g009040	Capang01g001540	tomato	CaChiltepin.pep	17077	1	Auxin
Solyc01g009040	SPI01g00602	tomato	Tomatopimp	17077	1	Auxin
Solyc01g009040	Capana01g001828	tomato	CaZL1.pep	17077	1	Auxin
Solyc01g009040	Sopen01g004530	tomato	TomatoPennelli	17077	1	Auxin
Solyc08g006430	SPI08g00227	tomato	Tomatopimp	17192	1	Auxin
Solyc08g006430	Capana01g004056	tomato	CaZL1.pep	17192	1	Auxin
Solyc08g014290	Sopen08g005200	tomato	TomatoPennelli	17374	2	Auxin
Solyc08g014290	Capang08g000698	tomato	CaChiltepin.pep	17374	1	Auxin
Solyc08g014290	SLYcer08g00684	tomato	TomatoCerasiforme	17374	2	Auxin
Solyc08g014290	Capana01g003790	tomato	CaZL1.pep	17374	1	Auxin
Solyc08g014290	SPI08g00657	tomato	Tomatopimp	17374	2	Auxin
Solyc07g007370	SLYcer07g00423	tomato	TomatoCerasiforme	17451	1	Auxin
Solyc07g007370	Sopen07g003440	tomato	TomatoPennelli	17451	1	Auxin
Solyc07g007370	Capang07g000344	tomato	CaChiltepin.pep	17451	1	Auxin
Solyc02g078220	PGSC0003DMP400051778\tPGSC0003DMT400076432	tomato	Potato	18295	1	Auxin
Solyc02g078220	SPI02g03112	tomato	Tomatopimp	18295	1	Auxin
Solyc02g078220	Capana02g001500	tomato	CaZL1.pep	18295	1	Auxin
Solyc02g078220	SLYcer02g04214	tomato	TomatoCerasiforme	18295	2	Auxin
Solyc02g078220	Capang02g001315	tomato	CaChiltepin.pep	18295	1	Auxin
Solyc02g078220	Sopen02g023080	tomato	TomatoPennelli	18295	1	Auxin
Solyc05g050800	PGSC0003DMP400012399\tPGSC0003DMT400018012	tomato	Potato	18344	1	Auxin
Solyc05g050800	Sopen05g029280	tomato	TomatoPennelli	18344	1	Auxin
Solyc05g050800	Capana05g001589	tomato	CaZL1.pep	18344	1	Auxin
Solyc05g050800	Capang05g001288	tomato	CaChiltepin.pep	18344	1	Auxin
Solyc05g050800	SPI05g04314	tomato	Tomatopimp	18344	2	Auxin
Solyc07g066040	Sopen07g034230	tomato	TomatoPennelli	18568	1	Auxin
Solyc07g066040	Capana07g002434	tomato	CaZL1.pep	18568	1	Auxin
Solyc07g066040	SPI07g06360	tomato	Tomatopimp	18568	1	Auxin
Solyc06g069570	SLYcer06g04605	tomato	TomatoCerasiforme	18585	1	Auxin
Solyc06g069570	Sopen06g026870	tomato	TomatoPennelli	18585	1	Auxin
Solyc06g069570	Capang06g000973	tomato	CaChiltepin.pep	18585	1	Auxin
Solyc06g069570	Capana00g004735	tomato	CaZL1.pep	18585	1	Auxin
Solyc06g069570	PGSC0003DMP400055866\tPGSC0003DMT400083166	tomato	Potato	18585	1	Auxin
