OG	n_genes	n_species	Dom. pepper	Potato	S. Pennelli	S. pimp	Tomato	Tomato Cherry	Wild pepper
OG201	2	2				SPI02g02207.1	Solyc02g064810.1.1		
OG493	2	2				SPI06g03652.1	Solyc06g054430.1.1		
OG501	2	2				SPI08g05874.1	Solyc08g077620.1.1		
OG9865	3	3			Sopen08g020990.1	SPI08g05012.1	Solyc08g067040.4.1		
OG9873	3	2					Solyc02g005400.3.1	SLYcer02g00385.1,SLYcer02g00387.1	
OG9902	3	3				SPI09g01907.1	Solyc09g018520.1.1	SLYcer09g01700.1	
OG10629	3	3				SPI05g04419.1	Solyc05g051540.3.1	SLYcer10g02544.1	
OG11139	3	3		PGSC0003DMP400037584		SPI08g05168.1	Solyc08g068480.1.1		
OG11942	3	3	Capana00g002207				Solyc01g060050.3.1		Capang01g001819
OG13004	4	4			Sopen01g040490.1	SPI01g07400.1	Solyc01g096790.4.1	SLYcer01g07872.1	
OG13151	4	3				SPI10g02414.1,SPI10g02410.1	Solyc10g049815.1.1	SLYcer10g04053.1	
OG13419	4	4		PGSC0003DMP400065246		SPI07g01259.1	Solyc07g019450.3.1	SLYcer07g01237.1	
OG13731	4	4	Capana08g002478		Sopen01g051130.1		Solyc01g108930.3.1		Capang01g005000
OG14411	5	5		PGSC0003DMP400000732	Sopen12g003260.1	SPI12g00394.1	Solyc12g007300.1.1	SLYcer12g00364.1	
OG14436	5	5		PGSC0003DMP400044975	Sopen01g051040.1	SPI01g08501.1	Solyc01g108850.2.1	SLYcer01g08279.1	
OG14516	5	5		PGSC0003DMP400036743	Sopen02g018930.1	SPI02g02680.1	Solyc02g069770.3.1	SLYcer02g03783.1	
OG15006	5	5	Capana02g002046	PGSC0003DMP400038846	Sopen02g023920.1		Solyc02g079110.3.1		Capang02g001839
OG15059	5	3		PGSC0003DMP400038557,PGSC0003DMP400020864,PGSC0003DMP400020863			Solyc07g066000.3.1		Capang00g005425
OG15699	6	6	Capana06g000275		Sopen06g033900.1	SPI06g05201.1	Solyc06g082520.3.1	SLYcer06g05310.1	Capang06g000264
OG15762	6	6	Capana04g000891		Sopen04g029970.1	SPI04g04701.1	Solyc04g076020.3.1	SLYcer04g05213.1	Capang04g000853
OG15874	6	6	Capana04g000474		Sopen04g033170.1	SPI04g05054.1	Solyc04g079590.3.1	SLYcer04g05557.1	Capang04g000439
OG15900	6	6	Capana03g001065		Sopen03g032460.1	SPI03g04568.1	Solyc03g113410.2.1	SLYcer03g04519.1	Capang03g001020
OG15986	6	6	Capana03g002814		Sopen03g013810.1	SPI03g02435.1	Solyc03g059310.3.1	SLYcer03g02312.1	Capang00g002236
OG16601	7	6	Capana02g001737	PGSC0003DMP400049453	Sopen02g021210.1,Sopen02g021210.2	SPI02g02920.1	Solyc02g072230.3.1	SLYcer02g04025.1	
OG16610	7	6	Capana10g001235		Sopen10g027510.2,Sopen10g027510.1	SPI10g03505.1	Solyc10g075030.3.1	SLYcer10g05010.1	Capang06g001464
OG16712	7	7	Capana07g000026	PGSC0003DMP400032668	Sopen07g003000.1	SPI07g00397.1	Solyc07g006900.2.1	SLYcer07g00329.1	Capang07g000056
OG16911	7	7	Capana03g000009	PGSC0003DMP400016168	Sopen03g041750.1	SPI03g05560.1	Solyc03g124020.1.1	SLYcer03g05532.1	Capang03g000005
OG16945	7	5		PGSC0003DMP400026597,PGSC0003DMP400026596,PGSC0003DMP400026595	Sopen03g030860.1	SPI03g04403.1	Solyc03g111740.3.1	SLYcer03g04348.1	
OG17043	7	6	Capana10g002467	PGSC0003DMP400014698,PGSC0003DMP400014699	Sopen10g029090.1	SPI10g03690.1	Solyc10g078430.2.1	SLYcer10g05206.1	
OG17111	7	7	Capana09g001771	PGSC0003DMP400015748	Sopen09g004730.1	SPI09g00761.1	Solyc09g009980.3.1	SLYcer09g00830.1	Capang09g001308
OG17204	7	7	Capana06g000650	PGSC0003DMP400010522	Sopen06g030390.1	SPI06g04816.1	Solyc06g073980.4.1	SLYcer06g04952.1	Capang06g000604
OG17348	7	7	Capana02g000177	PGSC0003DMP400025605	Sopen08g009980.1	SPI08g04131.1	Solyc08g029090.4.1	SLYcer08g04226.1	Capang02g000161
OG17374	7	7	Capana09g002053	PGSC0003DMP400041348	Sopen09g001830.1	SPI09g00183.1	Solyc09g005970.1.1	SLYcer09g00279.1	Capang09g001588
OG17378	7	7	Capana03g000735	PGSC0003DMP400009954	Sopen03g037980.1	SPI03g05164.1	Solyc03g119090.3.1	SLYcer03g05104.1	Capang00g000413
OG17424	7	7	Capana03g000640	PGSC0003DMP400024934	Sopen03g037200.1	SPI03g05081.1	Solyc03g118290.3.1	SLYcer03g05022.1	Capang03g000578
OG17488	7	7	Capana00g001577	PGSC0003DMP400043067	Sopen04g026790.1	SPI04g04052.1	Solyc04g064830.4.1	SLYcer04g04422.1	Capang07g001080
OG17535	7	7	Capana00g004438	PGSC0003DMP400043088	Sopen04g026300.1	SPI04g03990.1	Solyc04g063380.3.1	SLYcer04g04350.1	Capang03g003334
OG17772	7	7	Capana06g000163	PGSC0003DMP400034979	Sopen06g034990.1	SPI06g05313.1	Solyc06g083600.3.1	SLYcer06g05421.1	Capang06g000140
OG17819	7	7	Capana06g000514	PGSC0003DMP400042077	Sopen06g031560.1	SPI06g04942.1	Solyc06g075150.3.1	SLYcer06g05078.1	Capang06g000499
OG17821	7	7	Capana03g002113	PGSC0003DMP400034646	Sopen03g003670.1	SPI03g00588.1	Solyc03g007750.3.1	SLYcer03g00363.1	Capang03g001995
OG17823	7	7	Capana09g001096	PGSC0003DMP400015088	Sopen09g025690.1	SPI09g03468.1	Solyc09g064530.3.1	SLYcer09g03571.1	Capang09g000806
OG17835	7	7	Capana02g003072	PGSC0003DMP400007188	Sopen02g037800.1	SPI02g04637.1	Solyc02g093220.3.1	SLYcer02g05718.1	Capang02g002780
OG17885	7	7	Capana04g000478	PGSC0003DMP400020727	Sopen04g033140.1	SPI04g05051.1	Solyc04g079560.3.1	SLYcer04g05554.1	Capang04g000444
OG17904	7	7	Capana06g002876	PGSC0003DMP400035877	Sopen06g002440.1	SPI06g00213.1	Solyc06g007530.2.1	SLYcer06g00436.1	Capang06g002653
OG17943	7	7	Capana12g001017	PGSC0003DMP400001405	Sopen01g051750.1	SPI01g08569.1	Solyc01g109560.3.1	SLYcer01g08347.1	Capang01g005057
OG18025	7	7	Capana09g001578	PGSC0003DMP400035343	Sopen09g007020.1	SPI09g01047.1	Solyc09g013160.3.1	SLYcer09g01159.1	Capang09g001165
OG18110	7	7	Capana03g000077	PGSC0003DMP400016175	Sopen03g041320.1	SPI03g05514.1	Solyc03g123550.1.1	SLYcer03g05485.1	Capang03g000073
OG18167	7	7	Capana06g000164	PGSC0003DMP400034841	Sopen06g034980.1	SPI06g05312.1	Solyc06g083590.4.1	SLYcer06g05420.1	Capang06g000141
OG18286	7	7	Capana06g002813	PGSC0003DMP400054358	Sopen04g023080.1	SPI04g03471.1	Solyc04g051700.3.1	SLYcer04g03753.1	Capang07g000847
OG18300	7	7	Capana04g000614	PGSC0003DMP400005943	Sopen04g031990.1	SPI04g04946.1	Solyc04g078390.3.1	SLYcer04g05448.1	Capang04g000561
OG18328	7	7	Capana03g004455	PGSC0003DMP400002698	Sopen09g033890.1	SPI09g04685.1	Solyc09g090910.3.1	SLYcer09g05019.1	Capang03g004272
OG18354	7	7	Capana04g000259	PGSC0003DMP400006736	Sopen04g034850.1	SPI04g05229.1	Solyc04g081240.2.1	SLYcer04g05728.1	Capang04g000238
OG18365	7	7	Capana03g004210	PGSC0003DMP400037493	Sopen09g036300.1	SPI09g04974.1	Solyc09g098380.3.1	SLYcer09g05284.1	Capang03g004038
OG18401	7	7	Capana01g001392	PGSC0003DMP400022636	Sopen01g037050.1	SPI01g07063.1	Solyc01g091310.3.1	SLYcer01g06798.1	Capang01g001214
OG18476	7	7	Capana08g002793	PGSC0003DMP400032501	Sopen01g054030.1	SPI01g08805.1	Solyc01g111980.3.1	SLYcer01g08576.1	Capang01g005376
OG18689	7	7	Capana02g003612	PGSC0003DMP400035224	Sopen02g038480.1	SPI02g04701.1	Solyc02g093840.3.1	SLYcer02g05780.1	Capang02g003331
OG18799	7	7	Capana12g001985	PGSC0003DMP400007076	Sopen11g001520.1	SPI11g00301.1	Solyc11g005550.2.1	SLYcer11g00138.1	Capang12g001671
OG18801	7	7	Capana11g000076	PGSC0003DMP400014218	Sopen11g028210.1	SPI11g04007.1	Solyc11g069500.2.1	SLYcer11g03942.1	Capang11g000072
OG18924	7	7	Capana01g002560	PGSC0003DMP400043845	Sopen01g033860.1	SPI01g06685.1	Solyc01g086850.3.1	SLYcer01g06417.1	Capang01g002222
OG18938	7	7	Capana02g003111	PGSC0003DMP400027661	Sopen02g035340.1	SPI02g04399.1	Solyc02g090710.3.1	SLYcer02g05476.1	Capang02g002819
OG18991	7	7	Capana03g000522	PGSC0003DMP400024984	Sopen03g036240.1	SPI03g04989.1	Solyc03g117350.1.1	SLYcer03g04932.1	Capang03g000481
OG18993	7	7	Capana05g002412	PGSC0003DMP400040689	Sopen05g033350.1	SPI05g04826.1	Solyc05g054890.4.1	SLYcer10g02158.1	Capang05g001962
OG19020	7	7	Capana02g003162	PGSC0003DMP400017857	Sopen02g034860.1	SPI02g04348.1	Solyc02g090170.3.1	SLYcer02g05425.1	Capang02g002867
OG19041	7	7	Capana02g003697	PGSC0003DMP400035159	Sopen02g039120.1	SPI02g04769.1	Solyc02g094460.2.1	SLYcer02g05844.1	Capang02g003420
OG19052	7	7	Capana07g002435	PGSC0003DMP400038295	Sopen07g034240.1	SPI07g06361.1	Solyc07g066060.3.1	SLYcer07g05643.1	Capang07g002431
OG19085	7	7	Capana04g001744	PGSC0003DMP400011584	Sopen11g008320.1	SPI11g01029.1	Solyc11g013310.2.1	SLYcer11g00881.1	Capang00g001171
OG19086	7	7	Capana04g001619	PGSC0003DMP400016287	Sopen11g009060.1	SPI11g01149.1	Solyc11g017070.2.1	SLYcer11g01021.1	Capang04g001531
OG19180	7	7	Capana12g001551	PGSC0003DMP400028983	Sopen04g023150.1	SPI04g03483.1	Solyc04g051800.3.1	SLYcer04g03767.1	Capang12g001290
OG19181	7	7	Capana12g002916	PGSC0003DMP400040315	Sopen05g034860.1	SPI05g04985.1	Solyc05g056470.1.1	SLYcer10g01992.1	Capang12g002560
OG19405	7	7	Capana12g001354	PGSC0003DMP400025462	Sopen12g021160.1	SPI12g03897.1	Solyc12g042070.3.1	SLYcer12g03950.1	Capang12g001149
OG19699	8	6	Capana02g002032		Sopen02g023830.2,Sopen02g023830.1,Sopen02g023830.3	SPI02g03200.1	Solyc02g079020.4.1	SLYcer02g04298.1	Capang02g001813
OG19806	8	7	Capana08g001115	PGSC0003DMP400000271	Sopen00g014180.1,Sopen01g039980.1	SPI01g07346.1	Solyc01g096220.3.1	SLYcer01g07096.1	Capang01g003625
OG19852	8	7	Capana03g003057	PGSC0003DMP400054605	Sopen03g020870.1	SPI03g03129.1,SPI03g03123.1	Solyc03g078150.3.1	SLYcer03g03022.1	Capang03g002922
OG19874	8	7	Capana09g001461	PGSC0003DMP400033642	Sopen09g027040.1	SPI09g03623.1,SPI09g03631.1	Solyc09g065290.4.1	SLYcer09g03710.1	Capang09g001032
OG19976	8	7	Capana08g001056	PGSC0003DMP400000263,PGSC0003DMP400000262	Sopen01g039790.1	SPI01g07330.1	Solyc01g096070.3.1	SLYcer01g07081.1	Capang01g003640
OG20066	8	7	Capana08g001092	PGSC0003DMP400000239,PGSC0003DMP400000240	Sopen01g039620.1	SPI01g07312.1	Solyc01g095880.1.1	SLYcer01g07063.1	Capang01g003678
OG20120	8	7	Capana04g000562	PGSC0003DMP400014006,PGSC0003DMP400014005	Sopen04g032380.1	SPI04g04983.1	Solyc04g078780.3.1	SLYcer04g05488.1	Capang04g000510
OG20135	8	7	Capana06g000638	PGSC0003DMP400010444,PGSC0003DMP400010443	Sopen06g030490.1	SPI06g04825.1	Solyc06g074070.3.1	SLYcer06g04960.1	Capang06g000595
OG20188	8	7	Capana01g001053	PGSC0003DMP400065498,PGSC0003DMP400058889	Sopen08g025600.1	SPI08g05809.1	Solyc08g077020.1.1	SLYcer08g05918.1	Capang01g000902
OG20212	8	6	Capana00g004209,Capana00g004144	PGSC0003DMP400033401,PGSC0003DMP400033402	Sopen07g032230.1	SPI07g06158.1	Solyc07g064090.3.1	SLYcer07g05446.1	
OG20250	8	7	Capana09g000067	PGSC0003DMP400013915,PGSC0003DMP400013916	Sopen12g005110.1	SPI12g00629.1	Solyc12g010220.3.1	SLYcer12g00602.1	Capang09g000062
OG20350	8	7	Capana07g000989	PGSC0003DMP400004262,PGSC0003DMP400004261	Sopen07g021880.1	SPI07g04432.1	Solyc07g042260.4.1	SLYcer07g03712.1	Capang00g000563
OG20356	8	7	Capana03g000244	PGSC0003DMP400004660,PGSC0003DMP400004659	Sopen03g039890.1	SPI03g05369.1	Solyc03g121060.4.1	SLYcer03g05328.1	Capang03g000231
OG20426	8	7	Capana01g003170	PGSC0003DMP400039276,PGSC0003DMP400039277	Sopen01g029070.1	SPI01g05977.1	Solyc01g067280.3.1	SLYcer01g05796.1	Capang08g000110
OG20494	8	7	Capana00g004291	PGSC0003DMP400055581	Sopen04g004480.1	SPI04g00537.1	Solyc04g009360.3.1	SLYcer04g00561.1	Capang00g003326,Capang00g004451
OG20514	8	7	Capana06g000791	PGSC0003DMP400064405,PGSC0003DMP400046766	Sopen06g029010.1	SPI06g04687.1	Solyc06g072650.1.1	SLYcer06g04823.1	Capang06g000746
OG20623	8	7	Capana02g001932	PGSC0003DMP400051738,PGSC0003DMP400051739	Sopen02g022850.1	SPI02g03096.1	Solyc02g078010.4.1	SLYcer02g04198.1	Capang02g001709
OG20671	8	7	Capana02g002020	PGSC0003DMP400053128,PGSC0003DMP400038758	Sopen02g023780.1	SPI02g03194.1	Solyc02g078970.4.1	SLYcer02g04292.1	Capang02g001802
OG20740	8	7	Capana10g001696	PGSC0003DMP400019554,PGSC0003DMP400019553	Sopen10g034270.1	SPI10g04324.1	Solyc10g084830.2.1	SLYcer10g05790.1	Capang10g001440
OG20838	8	7	Capana01g003707	PGSC0003DMP400032787,PGSC0003DMP400032788	Sopen08g017250.1	SPI08g04523.1	Solyc08g061820.3.1	SLYcer08g04624.1	Capang08g000628
OG20857	8	7	Capana03g001946	PGSC0003DMP400032304,PGSC0003DMP400032303	Sopen03g022430.1	SPI03g03355.1	Solyc03g082670.3.1	SLYcer03g03266.1	Capang03g001849
OG20904	8	7	Capana08g002582	PGSC0003DMP400053928,PGSC0003DMP400053926	Sopen01g052220.1	SPI01g08623.1	Solyc01g110030.3.1	SLYcer01g08397.1	Capang01g005114
OG20959	8	7	Capana02g002908	PGSC0003DMP400053327,PGSC0003DMP400053328	Sopen02g036370.1	SPI02g04491.1	Solyc02g091790.3.1	SLYcer02g05571.1	Capang02g002631
OG20981	8	7	Capana02g003545	PGSC0003DMP400022373,PGSC0003DMP400022374	Sopen02g031190.1	SPI02g03993.1	Solyc02g086470.3.1	SLYcer02g05055.1	Capang02g003267
OG21029	8	7	Capana10g002417	PGSC0003DMP400045702	Sopen03g013260.1	SPI03g02390.1	Solyc03g059100.3.1	SLYcer03g02262.1	Capang03g002987,Capang10g002171
OG21043	8	7	Capana12g001272,Capana00g000573	PGSC0003DMP400004578	Sopen03g039140.1	SPI03g05294.1	Solyc03g120260.4.1	SLYcer03g05244.1	Capang00g002836
OG21063	8	7	Capana11g000105	PGSC0003DMP400014194,PGSC0003DMP400014193	Sopen11g027930.1	SPI11g03973.1	Solyc11g069190.2.1	SLYcer11g03911.1	Capang11g000100
OG21069	8	7	Capana11g000098	PGSC0003DMP400014189,PGSC0003DMP400014188	Sopen11g027990.1	SPI11g03980.1	Solyc11g069260.2.1	SLYcer11g03918.1	Capang11g000092
OG21099	8	7	Capana12g000776	PGSC0003DMP400020492,PGSC0003DMP400020494	Sopen12g030330.1	SPI12g04615.1	Solyc12g088340.2.1	SLYcer12g04658.1	Capang12g000657
OG21326	9	6	Capana08g001345		Sopen08g008890.1,Sopen01g041660.1	SPI01g07521.1,SPI08g03615.1	Solyc08g023590.4.1,Solyc01g098090.3.1	SLYcer08g03647.1	Capang00g004012
OG21425	9	7	Capana01g004481	PGSC0003DMP400010370,PGSC0003DMP400010369	Sopen08g004340.1,Sopen08g004340.2	SPI08g00545.1	Solyc08g008490.4.1	SLYcer08g00571.1	Capang08g001330
OG21555	9	7	Capana02g001847	PGSC0003DMP400054998,PGSC0003DMP400054999	Sopen02g022450.1,Sopen02g022450.2	SPI02g03044.1	Solyc02g077560.3.1	SLYcer02g04153.1	Capang02g001636
OG21627	9	7	Capana07g000264	PGSC0003DMP400040360,PGSC0003DMP400040357,PGSC0003DMP400040358	Sopen05g034450.1	SPI05g04946.1	Solyc05g056040.3.1	SLYcer10g02030.1	Capang07g000264
OG21645	9	7	Capana04g000715	PGSC0003DMP400008798,PGSC0003DMP400008799,PGSC0003DMP400008800	Sopen04g031050.1	SPI04g04855.1	Solyc04g077460.3.1	SLYcer04g05358.1	Capang04g000692
OG21658	9	7	Capana09g002010	PGSC0003DMP400015691,PGSC0003DMP400015689,PGSC0003DMP400015690	Sopen09g005380.1	SPI09g00835.1	Solyc09g010670.4.1	SLYcer09g00927.1	Capang09g001475
OG21670	9	7	Capana04g000203	PGSC0003DMP400006747,PGSC0003DMP400006749,PGSC0003DMP400006748	Sopen04g034970.1	SPI04g05241.1	Solyc04g081350.3.1	SLYcer04g05740.1	Capang04g000183
OG21675	9	7	Capana07g000822,Capana00g004700	PGSC0003DMP400050053	Sopen07g004790.1	SPI07g00651.1	Solyc07g008860.3.1	SLYcer07g00607.1	Capang03g000841,Capang07g000753
OG21681	9	7	Capana01g003719	PGSC0003DMP400055331,PGSC0003DMP400035223,PGSC0003DMP400055330	Sopen01g001460.1	SPI01g00218.1	Solyc01g005450.3.1	SLYcer01g00196.1	Capang08g000635
OG21690	9	7	Capana03g002282	PGSC0003DMP400025217,PGSC0003DMP400025215,PGSC0003DMP400025216	Sopen03g005050.1	SPI03g00730.1	Solyc03g026170.4.1	SLYcer03g00510.1	Capang03g002165
OG21718	9	7	Capana08g001774	PGSC0003DMP400036011,PGSC0003DMP400036010,PGSC0003DMP400036012	Sopen01g045470.1	SPI01g07918.1	Solyc01g103050.3.1	SLYcer01g07346.1	Capang01g004341
OG21811	9	7	Capana02g003297	PGSC0003DMP400002621,PGSC0003DMP400002623,PGSC0003DMP400002622	Sopen02g033440.1	SPI02g04211.1	Solyc02g088730.2.1	SLYcer02g05286.1	Capang02g003039
OG21836	9	7	Capana10g001059	PGSC0003DMP400048171,PGSC0003DMP400048173,PGSC0003DMP400048172	Sopen10g027280.1	SPI10g03475.1	Solyc10g074790.2.1	SLYcer10g04980.1	Capang10g000883
OG21896	9	7	Capana02g000264,Capana01g002357	PGSC0003DMP400020924	Sopen02g009400.1	SPI02g01311.1	Solyc02g030080.4.1	SLYcer02g02412.1	Capang01g002033,Capang00g001488
OG21948	9	7	Capana12g002038	PGSC0003DMP400049957,PGSC0003DMP400049956,PGSC0003DMP400049955	Sopen11g001760.1	SPI11g00329.1	Solyc11g005800.2.1	SLYcer11g00169.1	Capang05g001664
OG21971	9	7	Capana06g001997,Capana06g001998	PGSC0003DMP400050760,PGSC0003DMP400020636	Sopen06g016460.1	SPI06g03316.1	Solyc06g050790.3.1	SLYcer06g03393.1	Capang06g001845
OG22075	9	7	Capana01g002524	PGSC0003DMP400062312	Sopen01g031340.1	SPI01g06379.1	Solyc01g079560.3.1	SLYcer01g06082.1	Capang00g000678,Capang01g002183,Capang01g002628
OG22105	9	7	Capana06g002417,Capana08g002373	PGSC0003DMP400037417	Sopen06g010800.1	SPI06g02937.1	Solyc06g034140.3.1	SLYcer06g02757.1	Capang06g002234,Capang01g004919
OG22134	9	7	Capana11g002393,Capana02g002848	PGSC0003DMP400053375	Sopen02g035860.1	SPI02g04442.1	Solyc02g091240.1.1	SLYcer02g05522.1	Capang02g002573,Capang11g002269
OG22257	10	7	Capana03g000354	PGSC0003DMP400009870	Sopen03g038890.1	SPI03g05270.1,SPI06g03486.1	Solyc03g120010.4.1,Solyc06g052000.1.1	SLYcer06g03572.1,SLYcer03g05210.1	Capang03g000328
OG22271	10	7	Capana08g002479	PGSC0003DMP400032011	Sopen07g028530.1	SPI08g05177.1,SPI07g05713.1	Solyc07g054630.4.1,Solyc08g068540.4.1	SLYcer07g04984.1,SLYcer08g05280.1	Capang01g005001
OG22384	10	7	Capana06g003008	PGSC0003DMP400044224,PGSC0003DMP400044225,PGSC0003DMP400044223	Sopen06g003160.1,Sopen06g003160.2	SPI06g00302.1	Solyc06g008310.3.1	SLYcer06g00517.1	Capang06g002768
OG22394	10	7	Capana12g002015	PGSC0003DMP400007088,PGSC0003DMP400007085,PGSC0003DMP400007086	Sopen11g001560.2,Sopen11g001560.1	SPI11g00306.1	Solyc11g005590.1.1	SLYcer11g00148.1	Capang12g001736
OG22463	10	7	Capana12g002745	PGSC0003DMP400028151,PGSC0003DMP400028153,PGSC0003DMP400028152	Sopen11g005650.2,Sopen11g005650.1	SPI11g00754.1	Solyc11g010910.3.1	SLYcer11g00614.1	Capang12g002381
OG22523	10	7	Capana01g000069	PGSC0003DMP400021427,PGSC0003DMP400021428,PGSC0003DMP400021426,PGSC0003DMP400021425	Sopen08g031130.1	SPI08g06415.1	Solyc08g082900.4.1	SLYcer08g06510.1	Capang01g000062
OG22605	10	7	Capana08g002372	PGSC0003DMP400044697,PGSC0003DMP400044696,PGSC0003DMP400044698,PGSC0003DMP400044699	Sopen01g050350.1	SPI01g08429.1	Solyc01g108120.3.1	SLYcer01g08207.1	Capang01g004918
OG22804	11	7	Capana00g004160	PGSC0003DMP400025344	Sopen07g032440.1,Sopen10g002330.1	SPI10g00238.1,SPI07g06179.1	Solyc10g006380.3.1,Solyc07g064290.3.1	SLYcer07g05466.1,SLYcer10g00370.1	Capang00g002435
OG22813	11	7	Capana06g001465	PGSC0003DMP400024324	Sopen06g024500.1,Sopen08g009000.1	SPI06g04162.1,SPI08g03593.1	Solyc06g066020.3.1,Solyc08g021820.3.1	SLYcer08g03624.1,SLYcer06g04303.1	Capang06g001393
OG22881	11	7	Capana03g002859	PGSC0003DMP400024604,PGSC0003DMP400024603	Sopen03g015310.1	SPI03g02619.1,SPI03g02617.1	Solyc03g063030.4.1,Solyc03g063050.1.1	SLYcer03g02491.1,SLYcer03g02493.1	Capang03g002744
OG22888	11	6	Capana00g002208,Capana01g002294		Sopen01g031280.1,Sopen01g026220.1	SPI01g06374.1,SPI01g05507.1	Solyc01g079510.3.1,Solyc01g060040.3.1	SLYcer01g05348.1	Capang01g001989,Capang01g001820
OG22918	11	7	Capana08g000988	PGSC0003DMP400000190,PGSC0003DMP400000189	Sopen01g039140.1,Sopen05g028590.1	SPI01g07262.1,SPI05g04217.1	Solyc01g095370.3.1	SLYcer10g02753.1,SLYcer01g07013.1	Capang01g003564
OG23087	11	7	Capana06g000056,Capana09g001066	PGSC0003DMP400034751,PGSC0003DMP400034752,PGSC0003DMP400034753	Sopen06g035780.1	SPI06g05395.1	Solyc06g084390.3.1	SLYcer06g05504.1	Capang09g000781,Capang06g000040
OG23201	12	7	Capana05g000419	PGSC0003DMP400020324,PGSC0003DMP400020301	Sopen04g005380.1,Sopen04g005390.1	SPI04g00634.1,SPI04g00635.1	Solyc04g010200.1.1,Solyc04g010210.1.1	SLYcer04g00660.1,SLYcer04g00659.1	Capang05g000338
