en_a	Wild pepper	Dom. pepper	Potato	Tomato cherry	S. pennellii	S. pimp.	None
Solyc01g005250	1	1	1	1	1	1	0
Solyc01g028830	1	1	1	1	1	1	0
Solyc01g057330	0	0	0	1	0	0	0
Solyc01g066430	1	1	1	1	1	1	0
Solyc01g079830	1	1	1	1	0	1	0
Solyc01g097510	1	1	1	1	1	1	0
Solyc01g098390	1	1	1	1	1	1	0
Solyc01g099800	0	0	0	0	0	1	0
Solyc01g101240	1	1	1	1	1	1	0
Solyc01g103570	1	1	1	1	1	0	0
Solyc01g104080	1	1	1	1	1	1	0
Solyc01g104220	1	1	1	1	1	1	0
Solyc01g104510	1	1	1	1	1	1	0
Solyc01g105710	0	1	1	1	1	1	0
Solyc01g107290	1	1	1	1	1	1	0
Solyc01g107800	1	1	1	1	1	1	0
Solyc01g108270	1	1	1	1	1	1	0
Solyc01g108280	1	1	1	1	1	0	0
Solyc01g108910	1	1	1	1	1	1	0
Solyc01g111980	1	1	1	1	1	1	0
Solyc02g062040	1	1	1	0	1	1	0
Solyc02g069090	1	1	1	1	1	1	0
Solyc02g080630	1	1	1	1	1	1	0
Solyc02g083350	0	0	0	0	0	0	0
Solyc02g088390	1	1	1	1	1	1	0
Solyc02g089610	1	1	1	1	1	1	0
Solyc03g082620	1	1	1	1	1	1	0
Solyc03g097750	1	1	1	1	1	0	0
Solyc03g097970	1	1	1	1	1	1	0
Solyc03g111010	1	1	1	1	1	1	0
Solyc03g112700	1	1	1	1	1	1	0
Solyc03g117250	1	1	0	1	1	1	0
Solyc03g122340	1	1	1	1	1	1	0
Solyc04g009230	1	1	1	1	1	1	0
Solyc04g010090	1	1	1	1	1	1	0
Solyc04g014730	1	1	1	1	1	1	0
Solyc04g018110	1	1	1	1	1	1	0
Solyc04g024340	0	0	1	1	1	1	0
Solyc04g024510	0	0	1	0	0	0	0
Solyc04g050920	0	0	1	1	1	1	0
Solyc04g055200	1	1	0	1	1	1	0
Solyc04g076380	1	1	1	1	1	1	0
Solyc04g078920	1	1	1	1	1	1	0
Solyc05g010010	1	1	1	1	1	1	0
Solyc05g015390	1	1	1	1	1	1	0
Solyc05g018130	1	1	1	1	1	1	0
Solyc05g043430	0	0	0	1	1	1	0
Solyc05g053040	1	1	1	0	1	0	0
Solyc06g008330	1	1	1	1	1	1	0
Solyc06g009750	1	1	1	1	1	1	0
Solyc06g031690	1	1	0	1	0	0	0
Solyc06g053480	1	1	1	1	1	1	0
Solyc06g067970	0	1	0	0	0	0	0
Solyc06g071770	1	1	1	1	1	1	0
Solyc06g074220	1	0	1	1	1	1	0
Solyc06g074940	1	1	1	1	1	1	0
Solyc06g084130	1	0	1	1	1	1	0
Solyc06g084390	1	1	1	1	1	1	0
Solyc06g084440	1	1	1	1	1	1	0
Solyc07g006280	1	1	1	0	1	1	0
Solyc07g052480	1	0	1	1	1	1	0
Solyc07g054490	1	1	1	1	1	1	0
Solyc08g008100	0	0	0	0	0	0	0
Solyc08g065350	0	1	1	0	1	0	0
Solyc08g075450	0	0	0	1	1	1	0
Solyc08g076930	1	1	1	1	1	1	0
Solyc08g077530	1	1	1	1	1	1	0
Solyc08g078250	1	1	1	1	1	1	0
Solyc08g080410	1	1	1	1	1	1	0
Solyc09g047930	1	1	1	1	1	1	0
Solyc09g074320	1	1	0	1	1	1	0
Solyc09g089580	0	0	0	1	1	1	0
Solyc09g092520	1	1	1	1	1	1	0
Solyc10g007600	1	1	1	1	1	1	0
Solyc10g008870	0	0	1	1	1	1	0
Solyc10g044780	1	1	1	1	1	1	0
Solyc10g045620	0	0	0	0	0	0	0
Solyc10g049850	0	0	1	1	1	1	0
Solyc10g074790	1	1	1	1	1	1	0
Solyc10g081650	1	1	1	1	1	1	0
Solyc10g083360	1	1	1	0	1	1	0
Solyc11g007940	1	1	1	1	1	1	0
Solyc11g011380	0	1	1	1	1	1	0
Solyc11g011910	1	1	1	1	1	1	0
Solyc11g068550	1	1	1	1	1	1	0
Solyc11g073200	1	0	1	1	1	0	0
Solyc12g005150	1	1	1	1	1	1	0
Solyc12g014400	1	1	0	1	1	1	0
Solyc12g056220	1	1	1	1	1	1	0
Solyc12g063000	0	0	0	0	0	0	0
Solyc12g088900	1	1	1	0	1	0	0
Solyc12g098710	1	1	1	1	1	1	0
